timestamp,load,ram_usage
1521000,0.0,0.7287037
2017000,0.0,0.729417
2517000,0.0,0.7291853
3017000,0.0,0.72979975
3522000,0.0,0.7298462
4017000,0.0,0.729571
4518000,0.04,0.7296937
5016000,0.0,0.7294235
5517000,0.02,0.7293754
6017000,0.0,0.7293975
6516000,0.0,0.7293521
7021000,0.0,0.7293213
7516000,0.0,0.72927743
8016000,0.0,0.72923255
8516000,0.0,0.7292048
9018000,0.0,0.7286621
9517000,0.0,0.72864693
10016000,0.0,0.72856224
10520000,0.0,0.7285495
11017000,0.0,0.7285405
11516000,0.0,0.7288021
12017000,0.0,0.7287729
12517000,0.0,0.7286154
13021000,0.0,0.7285192
13518000,0.0,0.72853255
14018000,0.0,0.72853243
14518000,0.0,0.72852415
15018000,0.0,0.7285282
15520000,0.0,0.72854143
16016000,0.0,0.7285441
16516000,0.0,0.7289903
17016000,0.0,0.7290561
17522000,0.0,0.7291126
18018000,0.0,0.7291107
18520000,0.0,0.7290762
19017000,0.0,0.72910446
19522000,0.0,0.7295489
20016000,0.0,0.72955924
20517000,0.0,0.7295574
21017000,0.04,0.72949934
21516000,0.0,0.7295626
22018000,0.0,0.73019606
22517000,0.0,0.72993547
23017000,0.0,0.72993267
23522000,0.0,0.730046
24017000,0.0,0.73009914
24516000,0.0,0.7300975
25016000,0.0,0.73003465
25520000,0.0,0.73049307
26018000,0.0,0.73042727
26517000,0.0,0.7304803
27017000,0.0,0.7303455
27518000,0.0,0.73027873
28022000,0.0,0.7302081
28516000,0.0,0.73017216
29017000,0.0,0.730046
29516000,0.0,0.7301352
30016000,0.0,0.729823
30518000,0.0,0.7298544
31022000,0.0,0.7297137
31518000,0.0,0.72976226
32016000,0.0,0.72964114
32516000,0.0,0.72944385
33016000,0.0,0.7294209
33516000,0.0,0.72939384
34017000,0.0,0.72939456
34518000,0.0,0.72946745
35018000,0.0,0.7293682
35518000,0.0,0.7294462
36020000,0.0,0.7293378
36516000,0.0,0.7293835
37016000,0.0,0.72933537
37520000,0.0,0.72937495
38020000,0.0,0.7293498
38516000,0.0,0.729419
39020000,0.0,0.72934103
39522000,0.0,0.72937703
40022000,0.0,0.72907376
40517000,0.0,0.7290416
41017000,0.0,0.7290377
41517000,0.0,0.7290351
42017000,0.0,0.72903025
42516000,0.0,0.7291059
43022000,0.0,0.72903866
43520000,0.0,0.7291073
44016000,0.0,0.7290062
44516000,0.0,0.72908354
45016000,0.0,0.72891337
45516000,0.0,0.72899395
46017000,0.0,0.72884023
46516000,0.0,0.7289153
47017000,0.0,0.7287926
47520000,0.0,0.72926164
48016000,0.0,0.72869205
48517000,0.0,0.7286917
49017000,0.0,0.7286363
49517000,0.0,0.7286515
50017000,0.0,0.72861266
50518000,0.0,0.7283762
51017000,0.0,0.72833455
51522000,0.019607844,0.7283988
52017000,0.0,0.72829765
52516000,0.0,0.72827923
53017000,0.0,0.72827405
53518000,0.0,0.7287651
