timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature,device_id
1004000,0,-0.14345628,-0.14345628,24.675455,0
2000000,0,-0.5987122,-0.5987122,24.675455,0
3000000,0,0.08777578,0.08777578,24.675455,0
4000000,0,0.4664048,0.4664048,24.675455,0
5001000,0,-0.46173298,-0.46173298,24.675455,0
6003000,0,0.57058793,0.57058793,24.675455,0
7000000,0,0.23682217,0.23682217,24.675455,0
8018000,0,0.27708256,0.27708256,24.675455,0
9000000,0,0.48047444,0.48047444,24.675455,0
10000000,0,0.3064301,0.3064301,24.675455,0
11000000,0,-0.43799803,-0.43799803,24.675455,0
12000000,0,0.024389781,0.024389781,24.675455,0
13000000,0,0.3565406,0.3565406,24.675455,0
14000000,0,0.33712944,0.33712944,24.675455,0
15000000,0,0.317365,0.317365,24.675455,0
16000000,0,0.5110458,0.5110458,24.675455,0
17004000,0,-0.14553629,-0.14553629,24.675455,0
18000000,0,-0.5676294,-0.5676294,24.675455,0
19000000,0,-0.3589197,-0.3589197,24.675455,0
20000000,0,0.52749103,0.52749103,24.675022,0
21000000,0,-0.22846505,-0.22846505,24.672787,0
22000000,0,0.34827825,0.34827825,24.671545,0
23000000,0,0.54423434,0.54423434,24.671122,0
24004000,0,0.07120997,0.07120997,24.671352,0
25000000,0,-0.21059032,-0.21059032,24.671196,0
26000000,0,0.30858847,0.30858847,24.670757,0
27001000,0,0.4113744,0.4113744,24.670542,0
28000000,0,-0.5326063,-0.5326063,24.670292,0
29004000,0,0.601489,0.601489,24.670277,0
30000000,0,0.41894573,0.41894573,24.670372,0
31000000,0,-0.6146765,-0.6146765,24.670399,0
32004000,0,0.36350808,0.36350808,24.670135,0
33000000,0,0.24636321,0.24636321,24.669962,0
34004000,0,-0.022577062,-0.022577062,24.66974,0
35000000,0,-0.29781547,-0.29781547,24.669722,0
36000000,0,-0.32216564,-0.32216564,24.669783,0
37004000,0,0.5475513,0.5475513,24.669832,0
38000000,0,0.3575541,0.3575541,24.66993,0
39000000,0,0.39378157,0.39378157,24.670092,0
40000000,0,0.1576833,0.1576833,24.670237,0
41000000,0,0.45557612,0.45557612,24.670149,0
42004000,0,-0.041599456,-0.041599456,24.670021,0
43001000,0,-0.28598207,-0.28598207,24.669935,0
44000000,0,0.5838215,0.5838215,24.669851,0
45000000,0,-0.25216645,-0.25216645,24.672438,0
46000000,0,-0.50335836,-0.50335836,24.675383,0
47000000,0,0.38411373,0.38411373,24.675467,0
48000000,0,0.5317708,0.5317708,24.67549,0
49000000,0,-0.51068354,-0.51068354,24.67549,0
50000000,0,0.5043257,0.5043257,24.67549,0
