timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,valid_lpos,manual_home
5604000,0.0,0.0,50.858356,0.0,0.0,0.0,0.0,1,0,0,0
11092000,28.142957697411305,112.98371069406959,50.85439,0.010831643,-0.04960584,0.0039691376,0.05239584,1,1,1,0
22660000,28.142958100914367,112.98371109139806,50.910526,0.055699136,-0.010648283,-0.052171562,0.05098744,1,1,1,0
24044000,28.142958100914367,112.98371109139806,50.910526,0.055699136,-0.010648283,-0.052171562,0.050935857,1,1,1,0
24168000,28.142958100914367,112.98371109139806,50.910526,0.055699136,-0.010648283,-0.052171562,0.051050596,1,1,1,0
24855000,28.142958003792252,112.98371088418662,50.935997,0.04489965,-0.030965103,-0.077640496,0.051336877,1,1,1,0
27995000,28.142958003792252,112.98371088418662,50.935997,0.04489965,-0.030965103,-0.077640496,0.05103749,1,1,1,0
29720000,28.142958003792252,112.98371088418662,50.935997,0.04489965,-0.030965103,-0.077640496,0.049435638,1,1,1,0
29812000,28.142958003792252,112.98371088418662,50.935997,0.04489965,-0.030965103,-0.077640496,0.04989696,1,1,1,0
29880000,28.142958003792252,112.98371088418662,50.935997,0.04489965,-0.030965103,-0.077640496,0.04901152,1,1,1,0
36740000,28.142958003792252,112.98371088418662,50.935997,0.04489965,-0.030965103,-0.077640496,0.04764861,1,1,1,0
