timestamp,saturation_status
996000,1533
2004000,1533
2992000,1533
4000000,1533
5000000,1533
6000000,1533
6996000,1533
8000000,1533
9004000,1533
10000000,1533
11004000,1533
12004000,1533
13004000,1533
14000000,1533
15000000,1533
16000000,1533
17000000,1533
17996000,1533
18996000,1533
20000000,1533
21000000,1533
22000000,1533
22992000,1529
24012000,1533
25000000,1
26000000,1
27000000,1
28000000,1
29000000,1
30004000,1
31000000,1
32000000,1
33000000,1
34000000,1
35000000,1
36000000,1
37000000,1
38000000,1
39000000,1
39995000,1
41004000,1
42000000,1
43000000,1
43996000,1
45000000,1
46000000,1
47000000,1
48000000,1
49000000,1
49992000,1
51000000,1
52000000,1
53004000,1
54000000,1
55000000,1
56000000,1
57000000,1
58004000,1
59000000,1533
