timestamp,accel_device_id,gyro_device_id
48000,1310988,1310988
572000,1310988,1310988
6453000,1311004,1311004
6489000,1311004,1311004
6500000,1310996,1310996
6537000,1310988,1310988
6569000,1310988,1310988
6589000,1310996,1310996
6609000,1310988,1310988
6633000,1310996,1310996
6668000,1310988,1310988
9589000,1310996,1310996
10588000,1311004,1311004
10605000,1310988,1310988
17181000,1311004,1311004
17884000,1310988,1310988
17889000,1310988,1310988
21780000,1311004,1311004
21791000,1310996,1310996
22959000,1310988,1310988
25157000,1310988,1310988
25333000,1310996,1310996
29300000,1311004,1311004
29974000,1311004,1311004
31398000,1310988,1310988
31514000,1311004,1311004
38377000,1310996,1310996
39073000,1311004,1311004
39358000,1310988,1310988
40682000,1311004,1311004
45042000,1310988,1310988
46133000,1310996,1310996
46161000,1310988,1310988
46206000,1310988,1310988
46217000,1310996,1310996
47677000,1310996,1310996
