timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,mode_switch,man_switch,acro_switch,stab_switch,posctl_switch
27423677,27411651,1,1,0,0,0,3,3,0,3,0,0,0,0,0
28431747,28419647,1,1,0,0,0,3,3,0,3,0,0,0,0,0
29439677,29427649,1,1,0,0,0,3,3,0,3,0,0,0,0,0
30447676,30435648,1,1,0,0,0,3,3,0,3,0,0,0,0,0
31455680,31443711,1,1,0,0,0,3,3,0,3,0,0,0,0,0
32463686,32451648,1,1,0,0,0,3,3,0,3,0,0,0,0,0
33471681,33459648,1,1,0,0,0,3,3,0,3,0,0,0,0,0
34479672,34467833,1,1,0,0,0,3,3,0,3,0,0,0,0,0
35487678,35475647,1,1,0,0,0,3,3,0,3,0,0,0,0,0
36495675,36483648,1,1,0,0,0,3,3,0,3,0,0,0,0,0
37499681,37483647,1,1,0,0,0,3,3,0,3,0,0,0,0,0
38503829,38491647,1,1,0,0,0,3,3,0,3,0,0,0,0,0
39515672,39499647,1,1,0,0,0,3,3,0,3,0,0,0,0,0
40519759,40507719,1,1,0,0,0,3,3,0,3,0,0,0,0,0
41531789,41515647,1,1,0,0,0,3,3,0,3,0,0,0,0,0
42535674,42523648,1,1,0,0,0,3,3,0,3,0,0,0,0,0
43547674,43531737,1,1,0,0,0,3,3,0,3,0,0,0,0,0
44551672,44535648,1,1,0,0,0,3,3,0,3,0,0,0,0,0
45559698,45543647,1,1,0,0,0,3,3,0,3,0,0,0,0,0
46567676,46551647,1,1,0,0,0,3,3,0,3,0,0,0,0,0
47575675,47559648,1,1,0,0,0,3,3,0,3,0,0,0,0,0
48583675,48567647,1,1,0,0,0,3,3,0,3,0,0,0,0,0
49591673,49575650,1,1,0,0,0,3,3,0,3,0,0,0,0,0
50600019,50583648,1,1,0,0,0,3,3,0,3,0,0,0,0,0
51607671,51591650,1,1,0,0,0,3,3,0,3,0,0,0,0,0
52615698,52599648,1,1,0,0,0,3,3,0,3,0,0,0,0,0
53623671,53607648,1,1,0,0,0,3,3,0,3,0,0,0,0,0
54631674,54615650,1,1,0,0,0,3,3,0,3,0,0,0,0,0
