timestamp,rtl_time_s,rtl_limit_fraction
11076000,0.0,0.0
12080000,0.10639199,0.00011821333
13089000,0.14994814,0.00016660904
14109000,0.22364604,0.0002484956
15121000,0.21983589,0.0002442621
16165000,0.14164865,0.0001573874
17189000,0.037501875,4.1668754e-05
18205000,0.01933784,2.148649e-05
19225000,0.033251397,3.6945996e-05
20238000,0.044333816,4.9259797e-05
21249000,0.43070364,0.00047855964
22259000,0.7080706,0.0007867451
23277000,0.82542884,0.0009171432
24288000,0.79974383,0.0008886043
25296000,0.74469507,0.000827439
26301000,0.78334105,0.000870379
27345000,0.8028445,0.0008920495
28357000,0.8343349,0.00092703884
29385000,0.84418905,0.0009379879
30385000,0.8224229,0.0009138033
31393000,0.80137146,0.0008904128
32397000,0.8438073,0.00093756366
33413000,0.8146839,0.0009052044
34417000,0.8782837,0.00097587076
35419000,0.85843176,0.0009538131
36429000,0.8431033,0.00093678146
37449000,0.85863876,0.0009540431
38457000,0.8494666,0.00094385183
39457000,0.8267134,0.0009185705
40473000,0.7732933,0.00085921487
41525000,0.8123502,0.0009026114
42540000,0.84021604,0.00093357346
43593000,0.8687274,0.0009652527
44645000,0.7926494,0.0008807216
45649000,0.09985545,0.00011095051
46660000,0.09105151,0.000101168356
47672000,0.088011086,9.779011e-05
48689000,0.06748489,7.498322e-05
49693000,0.043212898,4.8014335e-05
