timestamp,saturation_status
995000,1529
2000000,1529
3003000,1529
3995000,1533
5000000,1533
6000000,1533
7004000,1533
8000000,1533
9004000,1533
10004000,1533
11004000,1533
12000000,1533
13004000,1533
14003000,1533
15000000,1529
16000000,1533
17003000,1529
18002000,1533
19003000,1533
20000000,1533
21000000,1529
22001000,1
23000000,1
24000000,1
25003000,1
26000000,1
27002000,1
28000000,1
29000000,1
30000000,1
31000000,1
32000000,1
33000000,1
34000000,1
35000000,1
35999000,1
37003000,1
38003000,1
39000000,1533
40000000,1533
41005000,1533
