timestamp,saturation_status
996000,1533
2000000,1533
2996000,1533
3996000,1533
5000000,1533
6005000,1533
7001000,1533
8001000,1533
8996000,1533
9993000,1533
11005000,1533
12005000,1533
13000000,1533
14001000,1533
15001000,1533
16005000,1533
17001000,1533
18001000,1529
19001000,1533
20001000,1533
21001000,1533
22003000,1533
23004000,1533
24001000,1533
25001000,1533
26005000,1529
26997000,1533
28000000,1533
29001000,1533
30006000,1
31002000,1
31998000,1
33002000,1
34002000,1
35005000,1
36002000,1
37005000,1
38001000,1
39002000,1
40001000,1
40997000,1
42000000,1
43002000,1
43998000,1
44994000,1
46002000,1
47005000,1
