timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
56131574,56130717,6684682,2000.8892,1.9539933,41.120358,nan,nan,nan,nan,nan,nan,nan,44.941845,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,464.0,492.0,501.0
56960815,56958463,6684682,2000.8892,1.9539933,49.02971,54.711815,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,469.0,440.0,514.0
56964848,56961420,6684682,2000.8892,1.9539933,49.02971,54.711815,nan,nan,nan,nan,nan,nan,42.9923,50.732662,nan,nan,10.0,10.0,nan,nan,nan,nan,nan,nan,25.0,17.0,nan,nan,469.0,502.0,574.0
57342780,57342279,6684682,2000.8892,1.9539933,37.292023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,465.0,470.0,538.0
57473648,57469732,6684682,2000.8892,1.9539933,80.1856,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,470.0,497.0,521.0
57985971,57982550,6684682,2000.8892,1.9539933,nan,nan,nan,nan,56.556107,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,449.0,479.0,529.0
58242305,58238954,6684682,2000.8892,1.9539933,nan,nan,nan,nan,48.849834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,460.0,428.0,512.0
58751051,58750317,6684682,2000.8892,1.9539933,37.3439,nan,nan,nan,33.217888,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,495.0,456.0,535.0
59137755,59135632,6684682,2000.8892,1.9539933,nan,nan,nan,nan,nan,nan,nan,nan,80.07519,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,470.0,527.0,557.0
59520552,59519493,6684682,2000.8892,1.9539933,nan,nan,nan,nan,nan,nan,nan,nan,34.30598,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,466.0,519.0,503.0
