timestamp,speed_xy,speed_up,speed_down,want_takeoff
11439000,5.0,3.0,1.0,0
11459000,5.0,3.0,1.0,0
12439000,5.0,3.0,1.0,0
13439000,5.0,3.0,1.0,0
14443000,5.0,3.0,1.0,0
15439000,5.0,3.0,1.0,0
16443000,5.0,3.0,1.0,0
17443000,5.0,3.0,1.0,0
18443000,5.0,3.0,1.0,0
19443000,5.0,3.0,1.0,0
20443000,5.0,3.0,1.0,0
21443000,5.0,3.0,1.0,0
22443000,5.0,3.0,1.0,0
22903000,5.0,3.0,1.0,0
47720000,5.0,3.0,1.0,0
47747000,5.0,3.0,1.0,0
48706000,5.0,3.0,1.0,0
49706000,5.0,3.0,1.0,0
50706000,5.0,3.0,1.0,0
51710000,5.0,3.0,1.0,0
52709000,5.0,3.0,1.0,0
