timestamp,speed_xy,speed_up,speed_down,want_takeoff
11572000,5.0,3.0,1.0,0
11596000,5.0,3.0,1.0,0
12584000,5.0,3.0,1.0,0
13580000,5.0,3.0,1.0,0
14584000,5.0,3.0,1.0,0
15580000,5.0,3.0,1.0,0
16568000,5.0,3.0,1.0,0
17591000,5.0,3.0,1.0,0
18588000,5.0,3.0,1.0,0
19568000,5.0,3.0,1.0,0
20588000,5.0,3.0,1.0,0
21580000,5.0,3.0,1.0,0
22580000,5.0,3.0,1.0,0
22860000,5.0,3.0,1.0,0
49551000,5.0,3.0,1.0,0
49572000,5.0,3.0,1.0,0
50532000,5.0,3.0,1.0,0
51552000,5.0,3.0,1.0,0
52547000,5.0,3.0,1.0,0
53548000,5.0,3.0,1.0,0
