timestamp,mag_inconsistency_angle
504000,0.0
1004000,0.0
1504000,0.0
2000000,0.0
2504000,0.0
3004000,0.0
3501000,0.0
4003000,0.0
4501000,0.0
5000000,0.0
5500000,0.0
6004000,0.0
6501000,0.0
7004000,0.0
7496000,0.0
8001000,0.0
8499000,0.0
9006000,0.0
9504000,0.0
9998000,0.0
10504000,0.0
11000000,0.0
11501000,0.0
12000000,0.0
12501000,0.0
12996000,0.0
13500000,0.0
14001000,0.0
14499000,0.0
14999000,0.0
15504000,0.0
15997000,0.0
16504000,0.0
17003000,0.0
17505000,0.0
18004000,0.0
18500000,0.0
19004000,0.0
19493000,0.0
19687000,0.0
49015000,0.0
49021000,0.0
49516000,0.0
