timestamp,mag_inconsistency_angle
519000,0.0
1001000,0.0
1501000,0.0
2000000,0.0
2497000,0.0
3000000,0.0
3506000,0.0
4005000,0.0
4496000,0.0
5004000,0.0
5505000,0.0
6002000,0.0
6500000,0.0
7001000,0.0
7497000,0.0
7997000,0.0
8496000,0.0
8992000,0.0
9495000,0.0
10001000,0.0
10502000,0.0
11001000,0.0
11500000,0.0
12001000,0.0
12500000,0.0
12994000,0.0
13501000,0.0
13998000,0.0
14501000,0.0
15000000,0.0
15497000,0.0
16001000,0.0
16505000,0.0
17004000,0.0
17497000,0.0
18000000,0.0
18328000,0.0
44689000,0.0
44693000,0.0
45190000,1.8387032e-08
