timestamp,saturation_status
996000,1529
2000000,1529
3000000,1529
3997000,1533
5004000,1533
6002000,1533
7001000,1533
8004000,1533
9000000,1533
10001000,1533
11001000,1533
12001000,1533
13001000,1533
14002000,1533
15000000,1533
15997000,1533
17004000,1529
18000000,1529
19001000,1533
20001000,1533
21001000,1
22001000,1
23004000,1
24001000,1
25002000,1
26001000,1
27004000,1
28006000,1
29001000,1
29997000,1
31000000,1
32004000,1
33001000,1
34003000,1
35005000,1
36005000,1
37001000,1
38001000,1
39005000,1
40001000,1
41001000,1
42000000,1
43002000,1533
44000000,1533
45001000,1533
