timestamp,accel_device_id,gyro_device_id
56000,1310988,1310988
616000,1310988,1310988
11403000,1311004,1311004
11420000,1310988,1310988
11528000,1311004,1311004
11532000,1310988,1310988
11563000,1310996,1310996
14784000,1311004,1311004
14876000,1310988,1310988
16797000,1310996,1310996
17104000,1310996,1310996
17108000,1310996,1310996
17224000,1310996,1310996
17232000,1310996,1310996
17445000,1310988,1310988
17453000,1311004,1311004
19517000,1310996,1310996
19941000,1310996,1310996
19949000,1311004,1311004
20336000,1310996,1310996
20344000,1311004,1311004
21769000,1310988,1310988
22956000,1310996,1310996
23568000,1310988,1310988
23872000,1310996,1310996
23969000,1310988,1310988
26912000,1310996,1310996
27517000,1311004,1311004
29017000,1310996,1310996
30041000,1310988,1310988
31637000,1311004,1311004
32260000,1310996,1310996
33344000,1310988,1310988
33448000,1310988,1310988
34645000,1310996,1310996
36073000,1311004,1311004
37796000,1310988,1310988
38705000,1310996,1310996
39912000,1310988,1310988
40084000,1310996,1310996
40180000,1310988,1310988
41096000,1310988,1310988
41192000,1310996,1310996
41293000,1310988,1310988
41409000,1310988,1310988
42121000,1311004,1311004
42273000,1310988,1310988
42293000,1310996,1310996
43525000,1310988,1310988
43705000,1310996,1310996
43825000,1310988,1310988
44125000,1310996,1310996
44317000,1311004,1311004
45548000,1310988,1310988
45644000,1310988,1310988
46113000,1310996,1310996
48340000,1310988,1310988
48448000,1311004,1311004
48668000,1310988,1310988
48681000,1310996,1310996
48809000,1311004,1311004
50069000,1310988,1310988
50373000,1311004,1311004
50785000,1310988,1310988
50800000,1310996,1310996
51381000,1310988,1310988
51808000,1310996,1310996
52708000,1310988,1310988
52781000,1310996,1310996
53709000,1310996,1310996
54428000,1310988,1310988
