timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
524000,0.0007989457,0.006125272,-0.00026631425,8000,0,0.017956512,0.0395045,-9.804258,8000,0
532000,-0.0031957878,0.0042610588,0.001331596,8000,0,-0.03351883,0.04549001,-9.77433,8000,0
536000,-0.004793694,0.0021305236,-0.00053262315,4000,0,-0.04668694,-0.00119693,-9.840169,4000,0
544000,-2.4587083e-09,0.0010652589,-0.0037284277,8000,0,-0.009576809,-0.014365038,-9.92277,8000,0
552000,0.003195787,-0.0021305373,-0.0021305312,8000,0,-0.026336217,-0.014365038,-9.915586,8000,0
559000,0.0010652554,-0.00452738,0.0018642044,7000,0,-0.009576806,-0.025138946,-9.859323,7000,0
563000,0.0013315799,-0.0037284258,0.0018642142,4000,0,0.02873042,0.004788576,-9.785105,4000,0
568000,0.0053263246,-0.004527371,0.0005326367,5000,0,0.022744916,0.007182776,-9.762357,5000,0
572000,0.007989484,-0.0050600064,0.0010652683,4000,0,0.020350713,-0.041898362,-9.79827,4000,0
576000,0.008522117,-0.0031957936,0.0010652705,4000,0,-0.010773908,-0.06584038,-9.792285,4000,0
580000,0.005858957,-0.0010652604,-0.00079894514,4000,0,-0.031124622,-0.052672267,-9.77433,4000,0
587000,0.0023968455,2.510238e-09,-0.0015978958,7000,0,0.0071826046,-0.013167938,-9.809044,7000,0
600000,-0.0018642126,0.0029294782,-0.000532632,8000,0,-0.0011971008,0.03591319,-9.6845455,8000,0
608000,0.0007989441,0.003728422,-0.0029294835,8000,0,-0.011971008,-0.031124454,-9.713276,8000,0
616000,0.000532628,0.0042610606,-0.005060005,8000,0,0.031124622,-0.07900849,-9.70849,8000,0
624000,-0.0013315693,0.00585896,-0.0029294714,8000,0,0.026336217,-0.04189837,-9.672577,8000,0
628000,0.0010652647,0.0021305261,-0.0010652705,4000,0,-0.02633622,0.015562482,-9.726444,4000,0
636000,-0.00026631897,-0.0015978955,-0.0031957943,8000,0,-0.002394203,0.034716096,-9.879675,8000,0
