timestamp,rtl_time_s,rtl_limit_fraction
11009000,0.0,0.0
12010000,0.1413092,0.00015701023
13033000,0.16245559,0.00018050622
14041000,0.22299297,0.00024776996
15058000,0.20137541,0.00022375047
16065000,0.009109387,1.0121542e-05
17118000,0.14665918,0.00016295466
18118000,0.123262115,0.00013695791
19118000,0.014704553,1.6338394e-05
20122000,0.16039026,0.0001782114
21126000,0.55830693,0.00062034104
22133000,0.7714343,0.00085714925
23149000,0.85709065,0.00095232297
24151000,0.79311454,0.00088123843
25161000,0.7637209,0.0008485789
26170000,0.8059495,0.0008954995
27199000,0.81637007,0.00090707786
28253000,0.8204866,0.0009116518
29266000,0.85152054,0.000946134
30313000,0.8115175,0.00090168614
31330000,0.7572928,0.0008414365
32379000,0.7742518,0.00086027983
33390000,0.21915762,0.00024350848
34441000,0.12286177,0.00013651309
35453000,0.16037011,0.00017818902
36469000,0.15376937,0.00017085487
37502000,0.1896903,0.00021076702
