timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
11051000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
19128000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
41007000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
44240000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44287000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44335000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44392000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44435000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44484000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44534000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44587000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44636000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44687000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44739000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44787000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44832000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44891000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44935000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44984000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45035000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45042000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45095000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45148000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45202000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45247000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45292000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45347000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45396000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45448000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45499000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45542000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45547000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45604000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45651000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45702000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45755000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45804000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45851000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
46639000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
46695000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
46742000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
46796000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
46847000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
46899000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
46944000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
46994000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47048000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47095000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47144000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47192000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47244000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47304000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47350000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47400000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47443000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47492000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47547000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47599000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47652000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47692000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47748000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47799000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47848000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47896000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47944000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47994000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48051000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48100000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48143000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48196000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48252000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48296000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
