timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
32716685,32716685,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
32728684,32728684,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
33216696,33216696,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
33720684,33720684,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
34208683,34208683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
34712689,34712689,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
35216683,35216683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
35720684,35720684,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
36224686,36224686,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
36716684,36716684,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
37220683,37220683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
37708683,37708683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
38212684,38212684,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
38716684,38716684,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
39220683,39220683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
39724683,39724683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
40212685,40212685,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
40716684,40716684,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
41220683,41220683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
41712684,41712684,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
42216694,42216694,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
42720683,42720683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
43224684,43224684,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
43712684,43712684,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
44216683,44216683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
44720685,44720685,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
45212685,45212685,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
45716684,45716684,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
46220852,46220852,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
46724683,46724683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
47212683,47212683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
47716703,47716703,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
48220716,48220716,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
48708683,48708683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
49212683,49212683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
49716684,49716684,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
50220683,50220683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
50724683,50724683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
51216684,51216684,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
51720683,51720683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
52208683,52208683,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
52712690,52712690,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
53216685,53216685,255,0,0,0,1514,1933,1514,1514,1095,1095,1095,1514,1514,1514,874,874,874,874,874,874,998,998,18,0,0,9
