timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
503000,-40,32767,32767,32767,32767,32767
507000,-40,32767,32767,32767,32767,32767
511000,-40,32767,32767,32767,-40,32767
519000,-80,32767,32767,32767,32767,32767
523000,-40,32767,32767,32767,32767,32767
527000,-40,32767,32767,32767,32767,32767
537000,-100,32767,32767,32767,-100,32767
544000,-70,32767,32767,-70,32767,32767
548000,-40,32767,32767,32767,32767,32767
553000,-50,32767,32767,32767,-50,32767
561000,-80,32767,32767,32767,32767,32767
568000,-70,32767,32767,32767,32767,32767
572000,-40,32767,32767,32767,-40,32767
576000,-40,32767,32767,32767,32767,32767
580000,-40,32767,32767,32767,32767,32767
585000,-50,32767,32767,32767,32767,32767
589000,-40,32767,32767,32767,0,32767
593000,-40,32767,32767,-40,32767,32767
600000,-70,32767,32767,32767,32767,32767
604000,-40,32767,32767,32767,32767,32767
609000,-50,32767,32767,32767,32767,32767
617000,-80,32767,32767,32767,-80,32767
619000,-20,32767,32767,32767,32767,32767
624000,-50,32767,32767,32767,32767,32767
632000,-80,32767,32767,32767,32767,32767
636000,-40,32767,32767,32767,-40,32767
640000,-40,32767,32767,32767,32767,32767
644000,-40,32767,32767,-40,32767,32767
649000,-50,32767,32767,32767,32767,32767
655000,-60,32767,32767,32767,0,32767
661000,-60,32767,32767,32767,32767,32767
665000,-40,32767,32767,32767,32767,32767
672000,-70,32767,32767,32767,32767,32767
676000,-40,32767,32767,32767,32767,32767
680000,-40,32767,32767,32767,-40,32767
682000,-20,32767,32767,32767,32767,32767
688000,-60,32767,32767,32767,32767,32767
693000,-50,32767,32767,32767,32767,32767
697000,-40,32767,32767,-40,0,32767
704000,-70,32767,32767,32767,32767,32767
707000,-30,32767,32767,32767,32767,32767
715000,-80,32767,32767,32767,32767,32767
720000,-50,32767,32767,32767,32767,32767
725000,-50,32767,32767,32767,-50,32767
733000,-80,32767,32767,32767,32767,32767
740000,-70,32767,32767,32767,32767,32767
744000,-40,32767,32767,32767,-40,32767
747000,-30,32767,32767,-30,32767,32767
751000,-40,32767,32767,32767,32767,32767
755000,-40,32767,32767,32767,32767,32767
760000,-50,32767,32767,32767,0,32767
762000,-20,32767,32767,32767,32767,32767
767000,-50,32767,32767,32767,32767,32767
772000,-50,32767,32767,32767,32767,32767
775000,-30,32767,32767,32767,32767,32767
783000,-80,32767,32767,32767,32767,32767
789000,-60,32767,32767,32767,-60,32767
797000,-80,32767,32767,32767,32767,32767
801000,-40,32767,32767,-40,32767,32767
805000,-40,32767,32767,32767,0,32767
813000,-80,32767,32767,32767,32767,32767
819000,-60,32767,32767,32767,32767,32767
823000,-40,32767,32767,32767,32767,32767
828000,-50,32767,32767,32767,0,32767
832000,-40,32767,32767,32767,32767,32767
836000,-40,32767,32767,32767,32767,32767
839000,-30,32767,32767,32767,32767,32767
844000,-50,32767,32767,32767,32767,32767
847000,-30,32767,32767,32767,32767,32767
855000,-80,32767,32767,-80,32767,32767
859000,-40,32767,32767,32767,-40,32767
868000,-90,32767,32767,32767,32767,32767
873000,-50,32767,32767,32767,32767,32767
877000,-40,32767,32767,32767,0,32767
881000,-40,32767,32767,32767,32767,32767
885000,-40,32767,32767,32767,32767,32767
892000,-70,32767,32767,32767,32767,32767
896000,-40,32767,32767,32767,32767,32767
900000,-40,32767,32767,32767,32767,32767
904000,-40,32767,32767,-40,-40,32767
909000,-50,32767,32767,32767,32767,32767
915000,-60,32767,32767,32767,32767,32767
919000,-40,32767,32767,32767,32767,32767
924000,-50,32767,32767,32767,32767,32767
927000,-30,32767,32767,32767,-30,32767
932000,-50,32767,32767,32767,32767,32767
936000,-40,32767,32767,32767,32767,32767
940000,-40,32767,32767,32767,32767,32767
944000,-40,32767,32767,32767,32767,32767
949000,-50,32767,32767,32767,-50,32767
957000,-80,32767,32767,32767,32767,32767
963000,-60,32767,32767,-60,32767,32767
968000,-50,32767,32767,32767,32767,32767
974000,-60,32767,32767,32767,-60,32767
979000,-50,32767,32767,32767,32767,32767
984000,-50,32767,32767,32767,32767,32767
991000,-70,32767,32767,32767,32767,32767
997000,-60,32767,32767,32767,-60,32767
1001000,-40,32767,32767,32767,32767,32767
1005000,-40,32767,32767,32767,32767,32767
1012000,-70,32767,32767,32767,32767,32767
1016000,-40,32767,32767,-40,-40,32767
1020000,-40,32767,32767,32767,32767,32767
1023000,-30,32767,32767,32767,32767,32767
1028000,-50,32767,32767,32767,32767,32767
1035000,-70,32767,32767,32767,32767,32767
1039000,-40,32767,32767,32767,-40,32767
1043000,-40,32767,32767,32767,32767,32767
1053000,-100,32767,32767,32767,32767,32767
1057000,-40,32767,32767,32767,32767,32767
1063000,-60,32767,32767,32767,-60,32767
1067000,-40,32767,32767,-40,32767,32767
1071000,-40,32767,32767,32767,32767,32767
1080000,-90,32767,32767,32767,0,32767
1084000,0,32767,32767,32767,32767,32767
1087000,32767,32767,32767,32767,32767,32767
1091000,-40,32767,32767,32767,32767,32767
1095000,-40,32767,32767,32767,32767,32767
1099000,-40,32767,32767,32767,32767,32767
1108000,32767,32767,32767,32767,0,32767
1113000,-50,32767,32767,32767,32767,32767
1115000,-20,32767,32767,-20,32767,32767
1124000,-90,32767,32767,32767,32767,32767
1128000,-40,32767,32767,32767,0,32767
1132000,-40,32767,32767,32767,32767,32767
1136000,-40,32767,32767,32767,32767,32767
1140000,-40,32767,32767,32767,32767,32767
1145000,-50,32767,32767,32767,32767,32767
1148000,-30,32767,32767,32767,32767,32767
1156000,-80,32767,32767,32767,-80,32767
1160000,-40,32767,32767,32767,32767,32767
1164000,-40,32767,32767,32767,32767,32767
1167000,-30,32767,32767,-30,32767,32767
1172000,-50,32767,32767,32767,32767,32767
1176000,-40,32767,32767,32767,-40,32767
1179000,-30,32767,32767,32767,32767,32767
1184000,-50,32767,32767,32767,32767,32767
1187000,-30,32767,32767,32767,32767,32767
1197000,-100,32767,32767,32767,0,32767
1204000,-70,32767,32767,32767,32767,32767
1209000,-50,32767,32767,32767,32767,32767
1213000,-40,32767,32767,32767,32767,32767
1217000,-40,32767,32767,32767,32767,32767
1225000,-80,32767,32767,-80,-80,32767
1229000,-40,32767,32767,32767,32767,32767
1236000,-70,32767,32767,32767,32767,32767
1240000,-40,32767,32767,32767,32767,32767
1244000,32767,32767,32767,32767,-40,32767
1248000,-40,32767,32767,32767,32767,32767
1253000,-50,32767,32767,32767,32767,32767
1260000,-70,32767,32767,32767,32767,32767
1263000,-30,32767,32767,32767,-30,32767
1268000,-50,32767,32767,0,32767,32767
1276000,0,32767,32767,32767,32767,32767
1281000,32767,32767,32767,32767,32767,32767
1289000,-80,32767,32767,32767,-80,32767
1296000,-70,32767,32767,32767,32767,32767
1300000,-40,32767,32767,32767,32767,32767
1305000,-50,32767,32767,32767,32767,32767
1312000,-70,32767,32767,32767,-70,32767
1317000,-50,32767,32767,32767,32767,32767
1321000,-40,32767,32767,32767,32767,32767
1325000,-40,32767,32767,-40,0,32767
1329000,-40,32767,32767,32767,32767,32767
1336000,-70,32767,32767,32767,32767,32767
1340000,-40,32767,32767,32767,32767,32767
1344000,-40,32767,32767,32767,32767,32767
1348000,-40,32767,32767,32767,0,32767
1353000,-50,32767,32767,32767,32767,32767
1360000,-70,32767,32767,32767,32767,32767
1365000,-50,32767,32767,32767,32767,32767
1368000,-30,32767,32767,32767,0,32767
1377000,-90,32767,32767,0,32767,32767
1384000,-70,32767,32767,32767,32767,32767
1390000,32767,32767,32767,32767,32767,32767
1397000,-70,32767,32767,32767,-70,32767
1404000,-70,32767,32767,32767,32767,32767
1408000,-40,32767,32767,32767,32767,32767
1412000,-40,32767,32767,32767,32767,32767
1416000,-40,32767,32767,32767,-40,32767
1420000,-40,32767,32767,32767,32767,32767
1425000,-50,32767,32767,32767,32767,32767
1429000,-40,32767,32767,32767,32767,32767
1436000,-70,32767,32767,-70,32767,32767
1440000,-40,32767,32767,32767,-40,32767
1445000,32767,32767,32767,32767,32767,32767
1452000,-70,32767,32767,32767,32767,32767
1454000,-20,32767,32767,32767,32767,32767
1459000,-50,32767,32767,32767,0,32767
1463000,0,32767,32767,32767,32767,32767
1467000,32767,32767,32767,32767,32767,32767
1471000,-40,32767,32767,32767,32767,32767
1475000,-40,32767,32767,32767,32767,32767
1479000,0,32767,32767,0,0,32767
1483000,32767,32767,32767,32767,32767,32767
1487000,-40,32767,32767,32767,32767,32767
1491000,-40,32767,32767,32767,32767,32767
1500000,-90,32767,32767,32767,32767,32767
1504000,-40,32767,32767,32767,-40,32767
1508000,-40,32767,32767,32767,32767,32767
1513000,-50,32767,32767,32767,32767,32767
1521000,-80,32767,32767,32767,32767,32767
1527000,-60,32767,32767,32767,-60,32767
1535000,-80,32767,32767,32767,32767,32767
1539000,-40,32767,32767,-40,32767,32767
1543000,-40,32767,32767,32767,32767,32767
1547000,-40,32767,32767,32767,-40,32767
1555000,-80,32767,32767,32767,32767,32767
1561000,-60,32767,32767,32767,32767,32767
1567000,-60,32767,32767,32767,0,32767
1576000,-90,32767,32767,32767,32767,32767
1579000,-30,32767,32767,32767,32767,32767
1584000,-50,32767,32767,32767,32767,32767
1588000,-40,32767,32767,0,0,32767
1591000,-30,32767,32767,32767,32767,32767
1595000,-40,32767,32767,32767,32767,32767
1599000,-40,32767,32767,32767,32767,32767
1604000,-50,32767,32767,32767,32767,32767
1608000,0,32767,32767,32767,0,32767
1612000,32767,32767,32767,32767,32767,32767
1621000,-90,32767,32767,32767,32767,32767
1625000,-40,32767,32767,32767,32767,32767
1633000,-80,32767,32767,32767,0,32767
1639000,-60,32767,32767,32767,32767,32767
1647000,-80,32767,32767,-80,32767,32767
1652000,-50,32767,32767,32767,32767,32767
1656000,-40,32767,32767,32767,0,32767
1664000,-80,32767,32767,32767,32767,32767
1672000,-80,32767,32767,32767,32767,32767
1676000,-40,32767,32767,32767,32767,32767
1681000,-50,32767,32767,32767,-50,32767
1689000,32767,32767,32767,32767,32767,32767
1694000,-50,32767,32767,-50,32767,32767
1699000,-50,32767,32767,32767,0,32767
1707000,-80,32767,32767,32767,32767,32767
1711000,-40,32767,32767,32767,32767,32767
1715000,-40,32767,32767,32767,32767,32767
1720000,-50,32767,32767,32767,32767,32767
1724000,-40,32767,32767,32767,-40,32767
1728000,-40,32767,32767,32767,32767,32767
1730000,-20,32767,32767,32767,32767,32767
1735000,-50,32767,32767,32767,32767,32767
1744000,-90,32767,32767,32767,0,32767
1749000,-50,32767,32767,-50,32767,32767
1753000,-40,32767,32767,32767,32767,32767
1760000,-70,32767,32767,32767,32767,32767
1764000,-40,32767,32767,32767,32767,32767
1766000,-20,32767,32767,32767,-20,32767
1771000,32767,32767,32767,32767,32767,32767
1775000,-40,32767,32767,32767,32767,32767
1779000,-40,32767,32767,32767,32767,32767
1784000,-50,32767,32767,32767,0,32767
1787000,-30,32767,32767,32767,32767,32767
1795000,-80,32767,32767,32767,32767,32767
1800000,-50,32767,32767,-50,32767,32767
1802000,-20,32767,32767,32767,32767,32767
1807000,-50,32767,32767,32767,32767,32767
1815000,-80,32767,32767,32767,-80,32767
1820000,-50,32767,32767,32767,32767,32767
1825000,-50,32767,32767,32767,32767,32767
1829000,-40,32767,32767,32767,32767,32767
1836000,-70,32767,32767,32767,-70,32767
1841000,-50,32767,32767,32767,32767,32767
1845000,-40,32767,32767,32767,32767,32767
1853000,-80,32767,32767,-80,0,32767
1859000,-60,32767,32767,32767,32767,32767
1864000,-50,32767,32767,32767,32767,32767
1872000,32767,32767,32767,32767,32767,32767
