timestamp,saturation_status
995000,1529
2000000,1529
2997000,1529
4000000,1533
5000000,1533
6000000,1533
7000000,1533
8005000,1533
9001000,1533
10005000,1533
10996000,1533
12001000,1533
13002000,1533
14004000,1533
15001000,1533
16000000,1533
16996000,1529
18001000,1529
19000000,1533
20004000,1
21004000,1
22000000,1
23000000,1
24001000,1
25000000,1
26000000,1
27001000,1
28000000,1
29001000,1
30000000,1
30996000,1
32001000,1
33000000,1
34001000,1
34998000,1
36001000,1
36997000,1
38001000,1
39000000,1
40000000,1
40997000,1
41997000,1
43004000,1
44000000,1
45002000,1
45997000,1
47002000,1
47996000,1
48996000,1533
49998000,1529
50996000,1533
