timestamp,accel_device_id,gyro_device_id
45000,1310988,1310988
588000,1310988,1310988
5084000,1311004,1311004
5100000,1310988,1310988
5148000,1310996,1310996
5181000,1310988,1310988
5197000,1311004,1311004
6313000,1310988,1310988
8477000,1310988,1310988
8680000,1310996,1310996
12764000,1310996,1310996
15404000,1310988,1310988
15513000,1311004,1311004
15521000,1310996,1310996
15597000,1310988,1310988
15981000,1310996,1310996
16012000,1311004,1311004
16033000,1310988,1310988
16293000,1310996,1310996
17628000,1310988,1310988
17628000,1310988,1310988
18309000,1310996,1310996
20672000,1310988,1310988
21861000,1310996,1310996
23088000,1310996,1310996
23105000,1310988,1310988
23801000,1311004,1311004
28349000,1310988,1310988
28752000,1311004,1311004
28829000,1310996,1310996
28877000,1311004,1311004
28921000,1310988,1310988
29129000,1311004,1311004
29328000,1310988,1310988
30061000,1310988,1310988
32169000,1310996,1310996
32972000,1310988,1310988
33169000,1310996,1310996
33277000,1310988,1310988
33460000,1310996,1310996
33857000,1310988,1310988
34581000,1311004,1311004
34988000,1310988,1310988
35389000,1310996,1310996
35596000,1311004,1311004
36596000,1310988,1310988
36696000,1311004,1311004
37189000,1310988,1310988
37777000,1310988,1310988
38664000,1311004,1311004
39089000,1310988,1310988
39089000,1311004,1311004
39784000,1310996,1310996
39905000,1310988,1310988
41301000,1310996,1310996
41684000,1311004,1311004
43009000,1310988,1310988
43056000,1311004,1311004
43089000,1310988,1310988
45004000,1310996,1310996
45117000,1310988,1310988
45409000,1310996,1310996
45896000,1310996,1310996
45912000,1311004,1311004
47305000,1310996,1310996
47401000,1310988,1310988
47781000,1310996,1310996
48209000,1310988,1310988
48901000,1310996,1310996
49416000,1310988,1310988
49796000,1310996,1310996
49809000,1311004,1311004
49888000,1310996,1310996
50112000,1311004,1311004
50492000,1310996,1310996
50596000,1311004,1311004
50992000,1311004,1311004
51204000,1310996,1310996
51209000,1311004,1311004
51296000,1310996,1310996
51312000,1311004,1311004
52017000,1311004,1311004
53092000,1310996,1310996
53296000,1311004,1311004
53809000,1310996,1310996
53909000,1311004,1311004
54309000,1310996,1310996
54396000,1311004,1311004
54497000,1310996,1310996
