timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
117748181,117744748,6684682,1999.1115,1.9522573,87.85478,nan,nan,nan,87.85158,nan,nan,nan,87.80486,nan,nan,nan,17.0,nan,nan,nan,17.0,nan,nan,nan,29.0,nan,nan,nan,456.0,475.0,528.0
118005053,118002982,6684682,1999.1115,1.9522573,nan,nan,nan,nan,nan,nan,nan,nan,49.024265,88.00245,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,13.0,nan,nan,439.0,486.0,472.0
118131364,118130598,6684682,1999.1115,1.9522573,nan,nan,nan,nan,88.00928,nan,nan,nan,87.88667,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,13.0,nan,nan,nan,439.0,501.0,477.0
118513979,118513444,6684682,1999.1115,1.9522573,89.552475,nan,nan,nan,88.089195,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,18.0,nan,nan,nan,nan,nan,nan,nan,479.0,522.0,453.0
118518279,118514991,6684682,1999.1115,1.9522573,89.552475,nan,nan,nan,88.089195,nan,nan,nan,33.26796,nan,nan,nan,13.0,nan,nan,nan,18.0,nan,nan,nan,10.0,nan,nan,nan,479.0,522.0,470.0
118644685,118642607,6684682,1999.1115,1.9522573,nan,nan,nan,nan,87.89352,nan,nan,nan,33.26796,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,10.0,nan,nan,nan,464.0,471.0,470.0
118771021,118770223,6684682,1999.1115,1.9522573,nan,nan,nan,nan,50.592686,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,480.0,439.0,497.0
118775072,118771678,6684682,1999.1115,1.9522573,nan,nan,nan,nan,50.592686,nan,nan,nan,89.704765,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,17.0,nan,nan,nan,480.0,439.0,525.0
119027529,119026911,6684682,1999.1115,1.9522573,nan,nan,nan,nan,87.92032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,476.0,495.0,474.0
119032149,119028411,6684682,1999.1115,1.9522573,nan,nan,nan,nan,87.92032,nan,nan,nan,88.00202,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,18.0,nan,nan,nan,476.0,495.0,492.0
119153404,119153069,6684682,1999.1115,1.9522573,54.82921,56.1766,nan,nan,87.92032,nan,nan,nan,88.00202,nan,nan,nan,10.0,10.0,nan,nan,17.0,nan,nan,nan,18.0,nan,nan,nan,493.0,495.0,492.0
119157892,119154526,6684682,1999.1115,1.9522573,54.82921,56.1766,nan,nan,89.7312,nan,nan,nan,88.00202,nan,nan,nan,10.0,10.0,nan,nan,17.0,nan,nan,nan,18.0,nan,nan,nan,493.0,446.0,492.0
119284515,119283641,6684682,1999.1115,1.9522573,nan,nan,nan,nan,44.901917,nan,nan,nan,87.877144,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,20.0,nan,nan,nan,482.0,463.0,471.0
119414857,119412758,6684682,1999.1115,1.9522573,nan,nan,nan,nan,nan,nan,nan,nan,87.91322,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,nan,467.0,483.0,508.0
119540804,119537372,6684682,1999.1115,1.9522573,87.84768,nan,nan,nan,nan,nan,nan,nan,87.91322,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,nan,463.0,483.0,508.0
119666855,119664988,6684682,1999.1115,1.9522573,185.39066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,520.0,482.0,497.0
119797907,119797106,6684682,1999.1115,1.9522573,nan,nan,nan,nan,87.85158,nan,nan,nan,87.85868,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,17.0,nan,nan,nan,530.0,456.0,488.0
120049662,120049334,6684682,1999.1115,1.9522573,87.726776,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,636.0,472.0,528.0
120563406,120562797,6684682,1999.1115,1.9522573,39.04492,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,656.0,713.0,6094.0
121333328,121331489,6684682,1999.1115,1.9522573,52.710945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,720.0,541.0,27541.0
121590055,121586717,6684682,1999.1115,1.9522573,48.80621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,871.0,654.0,25344.0
121972947,121971060,6684682,1999.1115,1.9522573,48.80643,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,528.0,540.0,25570.0
122103588,122100175,6684682,1999.1115,1.9522573,40.997402,42.783657,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,621.0,637.0,23153.0
122486662,122486063,6684682,1999.1115,1.9522573,nan,nan,nan,nan,56.508923,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,670.0,584.0,15208.0
122743490,122741289,6684682,1999.1115,1.9522573,nan,nan,nan,nan,44.901917,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,663.0,650.0,12678.0
123382654,123380808,6684682,1999.1115,1.9522573,36.65403,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,580.0,556.0,9392.0
124279179,124278593,6684682,1999.1115,1.9522573,nan,nan,nan,nan,32.970543,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,927.0,559.0,11141.0
124409832,124406204,6684682,1999.1115,1.9522573,41.215237,nan,nan,nan,32.970543,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,576.0,559.0,9686.0
124535894,124535361,6684682,1999.1115,1.9522573,42.94966,nan,nan,nan,48.80643,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,707.0,554.0,7918.0
124918522,124918194,6684682,1999.1115,1.9522573,50.649086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,532.0,561.0,9719.0
125945711,125945038,6684682,1999.1115,1.9522573,40.831398,nan,nan,nan,61.6071,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,578.0,506.0,9919.0
126585226,126584634,6684682,1999.1115,1.9522573,nan,nan,nan,nan,37.092888,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,722.0,540.0,8293.0
126716125,126713700,6684682,1999.1115,1.9522573,nan,nan,nan,nan,37.202488,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,599.0,553.0,7992.0
127868806,127866688,6684682,1999.1115,1.9522573,nan,nan,nan,nan,42.731827,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,540.0,623.0,7422.0
129147606,129145776,6684682,1999.1115,1.9522573,40.558544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,505.0,535.0,6959.0
130688071,130684576,6684682,1999.1115,1.9522573,nan,nan,nan,nan,48.98615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,614.0,559.0,7498.0
130944666,130941292,6684682,1999.1115,1.9522573,nan,nan,nan,nan,50.75869,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,536.0,553.0,6188.0
132093119,132092759,6684682,1999.1115,1.9522573,56.61546,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,625.0,536.0,5224.0
132097704,132094304,6684682,1999.1115,1.9522573,56.61546,nan,nan,nan,39.045147,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,625.0,516.0,5224.0
133503032,133502463,6684682,1999.1115,1.9522573,nan,nan,nan,nan,56.61546,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,608.0,529.0,4624.0
134912496,134910604,6684682,1999.1115,1.9522573,60.625683,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,584.0,495.0,4877.0
135295252,135294921,6684682,1999.1115,1.9522573,47.072006,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,522.0,502.0,3702.0
135299829,135296422,6684682,1999.1115,1.9522573,47.072006,nan,nan,nan,52.493114,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,522.0,478.0,3702.0
