timestamp,accel_device_id,gyro_device_id
60000,1310988,1310988
631000,1310988,1310988
5068000,1310996,1310996
5100000,1310988,1310988
5112000,1310996,1310996
5112000,1310988,1310988
5144000,1310996,1310996
5172000,1310988,1310988
5215000,1310996,1310996
5256000,1310988,1310988
5291000,1310996,1310996
5343000,1310988,1310988
5387000,1310996,1310996
5428000,1310996,1310996
5448000,1310988,1310988
5472000,1310996,1310996
5524000,1310988,1310988
5608000,1310996,1310996
5608000,1310988,1310988
5656000,1310996,1310996
5684000,1310988,1310988
5720000,1310996,1310996
5796000,1311004,1311004
5796000,1310988,1310988
5824000,1310996,1310996
5848000,1310996,1310996
5867000,1310988,1310988
5888000,1310996,1310996
5928000,1310988,1310988
5968000,1310996,1310996
6012000,1310988,1310988
6064000,1310996,1310996
6128000,1310988,1310988
6208000,1310996,1310996
6208000,1310988,1310988
6220000,1310996,1310996
6252000,1310988,1310988
10440000,1310996,1310996
10540000,1310988,1310988
14195000,1310996,1310996
14724000,1311004,1311004
16620000,1311004,1311004
16720000,1310996,1310996
16735000,1311004,1311004
16928000,1311004,1311004
17016000,1311004,1311004
17024000,1310996,1310996
17040000,1311004,1311004
17059000,1310996,1310996
23824000,1310988,1310988
23947000,1311004,1311004
24227000,1311004,1311004
24316000,1310988,1310988
27176000,1311004,1311004
27360000,1310988,1310988
27856000,1310996,1310996
28080000,1311004,1311004
28268000,1310996,1310996
28659000,1310988,1310988
29796000,1310996,1310996
34020000,1310988,1310988
45743000,1310996,1310996
45948000,1311004,1311004
46016000,1310988,1310988
46048000,1310988,1310988
48164000,1310996,1310996
52016000,1310988,1310988
58408000,1310988,1310988
58508000,1310996,1310996
58596000,1311004,1311004
58716000,1311004,1311004
58788000,1310996,1310996
