timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,mode_switch,man_switch,acro_switch,stab_switch,posctl_switch
29495705,29483681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
30503709,30491685,1,1,0,0,0,3,3,0,3,0,0,0,0,0
31511707,31499681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
32519705,32507681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
33527709,33515683,1,1,0,0,0,3,3,0,3,0,0,0,0,0
34535705,34523681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
35543707,35531681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
36551714,36539682,1,1,0,0,0,3,3,0,3,0,0,0,0,0
37559705,37547681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
38567707,38555811,1,1,0,0,0,3,3,0,3,0,0,0,0,0
39575705,39563683,1,1,0,0,0,3,3,0,3,0,0,0,0,0
40583708,40567948,1,1,0,0,0,3,3,0,3,0,0,0,0,0
41591708,41579681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
42599710,42587682,1,1,0,0,0,3,3,0,3,0,0,0,0,0
43607706,43595681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
44615711,44603683,1,1,0,0,0,3,3,0,3,0,0,0,0,0
45623708,45611681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
46632230,46619697,1,1,0,0,0,3,3,0,3,0,0,0,0,0
47639707,47627684,1,1,0,0,0,3,3,0,3,0,0,0,0,0
48647705,48635683,1,1,0,0,0,3,3,0,3,0,0,0,0,0
49655706,49643681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
50663712,50651681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
51671709,51659681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
52679709,52667681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
53687730,53675681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
54695792,54683681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
55703709,55691681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
56711706,56699682,1,1,0,0,0,3,3,0,3,0,0,0,0,0
57719706,57707681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
58727706,58715681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
59735707,59723681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
60743710,60731683,1,1,0,0,0,3,3,0,3,0,0,0,0,0
61751707,61736060,1,1,0,0,0,3,3,0,3,0,0,0,0,0
62755708,62743681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
63763710,63751681,1,1,0,0,0,3,3,0,3,0,0,0,0,0
64771710,64759682,1,1,0,0,0,3,3,0,3,0,0,0,0,0
