timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
11072000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
19120000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
40939000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
43375000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43428000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43476000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43528000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43568000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43619000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43668000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43720000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43768000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43831000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43867000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43928000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43968000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43980000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44032000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44084000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44132000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44180000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44232000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44284000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44336000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44387000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44440000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44484000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44536000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44591000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44638000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44687000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44735000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44792000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44835000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44888000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44936000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
44992000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45044000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45092000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45148000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
45199000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47452000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47496000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47551000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47603000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47647000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47699000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47716000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47772000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47816000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47876000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47924000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47972000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48016000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48068000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48124000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48184000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48223000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48275000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48320000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48376000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48419000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48468000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48524000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48575000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48616000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48667000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48728000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48783000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48831000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
