timestamp,saturation_status
1004000,1529
2004000,1529
3003000,1529
4000000,1533
5004000,1533
6004000,1533
7000000,1533
8004000,1533
9003000,1533
10000000,1533
11003000,1533
12008000,1533
13004000,1529
14004000,1533
15000000,1533
16004000,1533
17003000,1529
18004000,1529
19000000,1533
20003000,1533
21000000,1529
22004000,1
23000000,1
24007000,1
25000000,1
26000000,1
27003000,1
28008000,1
29003000,1
30003000,1
31000000,1
32008000,1
33000000,1
34000000,1
35004000,1
36000000,1
36996000,1
38003000,1
39004000,1
40004000,1
41004000,1
42004000,1
43000000,1
44008000,1533
45006000,1533
45996000,1533
47004000,1533
47999000,1533
48995000,1533
