timestamp,main_state_changes,main_state
52000,0,0
553000,0,0
1064000,0,0
1520000,0,0
2032000,0,0
2532000,0,0
3040000,0,0
3549000,0,0
4049000,0,0
4269000,0,0
4769000,0,0
5281000,0,0
5793000,0,0
6305000,0,0
6817000,0,0
7325000,0,0
7833000,0,0
8333000,0,0
8841000,0,0
9349000,0,0
9853000,0,0
10356000,0,0
10864000,0,0
11080000,1,4
11580000,1,4
12081000,1,4
12584000,1,4
13092000,1,4
13596000,1,4
14105000,1,4
14605000,1,4
15117000,1,4
15365000,1,4
15873000,1,4
16012000,1,4
16420000,1,4
16566000,2,7
16745000,2,7
17256000,2,7
17280000,2,7
17321000,2,7
17336000,2,7
17841000,2,7
18348000,2,7
18513000,2,7
18540000,2,7
19052000,2,7
19560000,2,7
20069000,2,7
20576000,2,7
21081000,2,7
21589000,2,7
22093000,2,7
22596000,2,7
23105000,2,7
23613000,2,7
23628000,2,7
23776000,2,7
23816000,2,7
23868000,2,7
24373000,2,7
24889000,2,7
25393000,2,7
25905000,2,7
26416000,2,7
26916000,2,7
26992000,2,7
27176000,2,7
27280000,2,7
27788000,2,7
28293000,2,7
28797000,2,7
29304000,2,7
29805000,2,7
30308000,2,7
30817000,2,7
31317000,2,7
31828000,2,7
32328000,2,7
32840000,2,7
33348000,2,7
33848000,2,7
34360000,2,7
34868000,2,7
35376000,2,7
35884000,2,7
36385000,2,7
36893000,2,7
37393000,2,7
37500000,2,7
37561000,3,11
38065000,3,11
38572000,3,11
39080000,3,11
39584000,3,11
40093000,3,11
40604000,3,11
41113000,3,11
41613000,3,11
42116000,3,11
42432000,3,11
42733000,3,11
43240000,3,11
