timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,valid_lpos,manual_home
5512000,0.0,0.0,50.937347,0.0,0.0,0.0,0.0,1,0,0,0
11064000,28.142957897792723,112.98371075517785,50.90463,0.021993548,-0.07302887,0.03271754,0.05172437,1,1,1,0
12084000,28.142957897792723,112.98371075517785,50.90463,0.021993548,-0.07302887,0.03271754,0.05187042,1,1,1,0
13288000,28.142957897792723,112.98371075517785,50.90463,0.021993548,-0.07302887,0.03271754,0.051806215,1,1,1,0
13589000,28.142957897792723,112.98371075517785,50.90463,0.021993548,-0.07302887,0.03271754,0.051808108,1,1,1,0
14897000,28.142957897792723,112.98371075517785,50.90463,0.021993548,-0.07302887,0.03271754,0.051838282,1,1,1,0
17308000,28.142957897792723,112.98371075517785,50.90463,0.021993548,-0.07302887,0.03271754,0.05183592,1,1,1,0
19641000,28.142957897792723,112.98371075517785,50.90463,0.021993548,-0.07302887,0.03271754,0.05158416,1,1,1,0
20244000,28.142957897792723,112.98371075517785,50.90463,0.021993548,-0.07302887,0.03271754,0.052003767,1,1,1,0
22804000,28.14295817234066,112.9837109840636,50.788532,0.052521884,-0.030977163,-0.06271902,0.049861554,1,1,1,0
23203000,28.14295817234066,112.9837109840636,50.788532,0.052521884,-0.030977163,-0.06271902,0.049646616,1,1,1,0
27099000,28.14295817234066,112.9837109840636,50.788532,0.052521884,-0.030977163,-0.06271902,0.049572233,1,1,1,0
27183000,28.14295817234066,112.9837109840636,50.788532,0.052521884,-0.030977163,-0.06271902,0.049505334,1,1,1,0
27870000,28.14295807531637,112.98371089344244,50.950115,0.041733276,-0.059472203,-0.04652294,0.04949344,1,1,1,0
28209000,28.14295807531637,112.98371089344244,50.950115,0.041733276,-0.059472203,-0.04652294,0.049613096,1,1,1,0
28402000,28.14295807531637,112.98371089344244,50.950115,0.041733276,-0.059472203,-0.04652294,0.049441677,1,1,1,0
28533000,28.14295807531637,112.98371089344244,50.950115,0.041733276,-0.059472203,-0.04652294,0.049367122,1,1,1,0
35244000,28.14295807531637,112.98371089344244,50.950115,0.041733276,-0.059472203,-0.04652294,0.049241666,1,1,1,0
35724000,28.14295807531637,112.98371089344244,50.950115,0.041733276,-0.059472203,-0.04652294,0.049227968,1,1,1,0
36241000,28.14295807531637,112.98371089344244,50.950115,0.041733276,-0.059472203,-0.04652294,0.04930745,1,1,1,0
36737000,28.14295807531637,112.98371089344244,50.950115,0.041733276,-0.059472203,-0.04652294,0.049256235,1,1,1,0
37729000,28.14295807531637,112.98371089344244,50.950115,0.041733276,-0.059472203,-0.04652294,0.049292628,1,1,1,0
39601000,28.14295807531637,112.98371089344244,50.950115,0.041733276,-0.059472203,-0.04652294,0.049201846,1,1,1,0
39873000,28.14295807531637,112.98371089344244,50.950115,0.041733276,-0.059472203,-0.04652294,0.048944443,1,1,1,0
41109000,28.14295807531637,112.98371089344244,50.950115,0.041733276,-0.059472203,-0.04652294,0.048838113,1,1,1,0
44873000,28.14295807531637,112.98371089344244,50.950115,0.041733276,-0.059472203,-0.04652294,0.048879594,1,1,1,0
45873000,28.14295807531637,112.98371089344244,50.950115,0.041733276,-0.059472203,-0.04652294,0.049265083,1,1,1,0
47749000,28.14295807531637,112.98371089344244,50.950115,0.041733276,-0.059472203,-0.04652294,0.048690416,1,1,1,0
