timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
516000,inf,0,1,1,1,0,0,1,1,0,1
1525000,inf,0,1,1,1,0,0,1,0,0,1
2525000,inf,0,1,1,1,0,0,1,0,0,1
3529000,inf,0,1,1,1,0,0,1,0,0,1
4532000,inf,0,1,1,1,0,0,1,0,0,1
5540000,inf,0,1,1,1,0,0,1,0,0,1
6540000,inf,0,1,1,1,0,0,1,0,0,1
7540000,inf,0,1,1,1,0,0,1,0,0,1
8545000,inf,0,1,1,1,0,0,1,0,0,1
9553000,inf,0,1,1,1,0,0,1,0,0,1
10561000,inf,0,1,1,1,0,0,1,0,0,1
11064000,inf,0,1,1,1,1,1,1,0,0,1
12065000,inf,0,1,1,1,1,1,1,0,0,1
13072000,inf,0,1,1,1,1,1,1,0,0,1
14072000,inf,0,1,1,1,1,1,1,0,0,1
14660000,inf,0,1,1,1,0,0,1,0,0,1
15661000,inf,0,1,1,1,0,0,1,0,0,1
16281000,inf,0,1,1,1,1,0,1,0,0,1
17012000,inf,0,1,0,0,1,0,1,0,0,1
17021000,inf,0,0,0,0,1,0,1,0,0,1
18032000,inf,0,0,0,0,1,0,0,0,0,1
19032000,inf,0,0,0,0,1,0,0,0,0,1
20037000,inf,0,0,0,0,1,0,0,0,0,1
21044000,inf,0,0,0,0,1,0,0,0,0,1
22013000,inf,0,0,0,0,0,0,0,0,0,1
23016000,inf,0,0,0,0,0,0,0,0,0,1
24024000,inf,0,0,0,0,0,0,0,0,0,1
25033000,inf,0,0,0,0,0,0,0,0,0,1
26033000,inf,0,0,0,0,0,0,0,0,0,1
27037000,inf,0,0,0,0,0,0,0,0,0,1
28040000,inf,0,0,0,0,0,0,0,0,0,1
29040000,inf,0,0,0,0,0,0,0,0,0,1
30049000,inf,0,0,0,0,0,0,0,0,0,1
31056000,inf,0,0,0,0,0,0,0,0,0,1
32060000,inf,0,0,0,0,0,0,0,0,0,1
33061000,inf,0,0,0,0,0,0,0,0,0,1
34069000,inf,0,0,0,0,0,0,0,0,0,1
35080000,inf,0,0,0,0,0,0,0,0,0,1
36080000,inf,0,0,0,0,0,0,0,0,0,1
37049000,inf,0,0,0,0,1,1,0,1,0,1
38052000,inf,0,0,0,0,1,1,0,0,0,1
38644000,inf,0,1,0,0,1,1,1,0,0,1
38997000,inf,0,1,1,0,1,1,1,0,0,1
39333000,inf,0,1,1,1,1,1,1,0,0,1
40341000,inf,0,1,1,1,1,1,1,0,0,1
41345000,inf,0,1,1,1,1,1,1,0,0,1
