timestamp,mag_inconsistency_angle
500000,0.0
996000,0.0
1506000,0.0
2003000,0.0
2504000,0.0
2999000,0.0
3500000,0.0
4003000,0.0
4493000,0.0
5000000,0.0
5506000,0.0
6000000,0.0
6496000,0.0
7008000,0.0
7504000,0.0
8000000,0.0
8499000,0.0
8992000,0.0
9500000,0.0
9995000,0.0
10500000,0.0
11001000,0.0
11500000,0.0
12000000,0.0
12500000,0.0
13000000,0.0
13503000,0.0
13996000,0.0
14503000,0.0
15000000,0.0
15500000,0.0
16003000,0.0
16500000,0.0
17003000,0.0
17495000,0.0
18000000,0.0
18502000,0.0
18999000,0.0
19199000,0.0
53156000,0.0
53160000,0.0
53656000,5.0359134e-10
