timestamp,accel_device_id,gyro_device_id
44000,1310988,1310988
569000,1310988,1310988
5041000,1310996,1310996
5089000,1311004,1311004
5113000,1310988,1310988
5128000,1310988,1310988
5168000,1310988,1310988
5189000,1310996,1310996
5229000,1310988,1310988
5252000,1310996,1310996
5332000,1310988,1310988
5425000,1310996,1310996
5504000,1310988,1310988
5536000,1310988,1310988
5628000,1310988,1310988
5748000,1310996,1310996
5825000,1310988,1310988
5853000,1310996,1310996
6153000,1311004,1311004
6216000,1310988,1310988
6808000,1310996,1310996
10924000,1311004,1311004
22665000,1310996,1310996
29818000,1310988,1310988
30628000,1310996,1310996
32136000,1310988,1310988
32152000,1310996,1310996
35591000,1310988,1310988
37996000,1310996,1310996
39496000,1310988,1310988
42512000,1310996,1310996
42540000,1310988,1310988
42544000,1310988,1310988
