gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
0.0,0.0,0.0,0.0,1.7099117e-07,-9.797073,0.277226,-0.033750117,0.471432100074813
0.0,0.0,0.0,0.0,1.7099121e-07,-9.797075,0.277226,-0.033750117,0.4714321062842893
0.0,0.0,0.0,0.0,1.7099121e-07,-9.797075,0.277226,-0.033750117,0.4714321124937656
0.0,0.0,0.0,0.0,1.7099121e-07,-9.797075,0.277226,-0.033750117,0.4714321187032419
0.0,0.0,0.0,0.0,1.7099121e-07,-9.797075,0.277226,-0.033750117,0.47143212
0.0,0.0,0.0,0.0,1.7099117e-07,-9.797073,0.277226,-0.033750117,0.47143212
0.0,0.0,0.0,0.0,1.7099119e-07,-9.797073,0.277226,-0.033750117,0.47143212
0.0,0.0,0.0,0.0,1.7099121e-07,-9.797075,0.2772260053117207,-0.033750117,0.47143211645885286
0.0,0.0,0.0,0.0,1.7099117e-07,-9.797073,0.27722601462593516,-0.033750117,0.4714321102493766
0.0,0.0,0.0,0.0,1.7099121e-07,-9.797075,0.2772260239401496,-0.033750117,0.47143210403990027
0.0,0.0,0.0,0.0,1.7099121e-07,-9.797075,0.2772268576932668,-0.033750104850374066,0.47143161184538657
0.0,0.0,0.0,0.0,1.7099121e-07,-9.797075,0.2772292266084788,-0.03375007007730674,0.47143021471321694
0.0,0.0,0.0,0.0,1.7099117e-07,-9.797073,0.27723159552369075,-0.0337500353042394,0.4714288175810474
0.0,0.0,0.0,0.0,1.7099121e-07,-9.797075,0.2772355400997506,-0.03374999602244389,0.4714264947630923
0.0,0.0,0.0,0.0,1.7099121e-07,-9.797075,0.2772501696259352,-0.033749926165835414,0.471417894638404
0.0,0.0,0.0,0.0,1.6810795e-07,-9.631876,0.2772647991521197,-0.03374985630922693,0.4714092945137157
0.0,0.0,0.0,0.0,1.630517e-07,-9.342175,0.27727942867830424,-0.033749786452618454,0.47140069438902743
0.0,0.0,0.0,0.0,1.6278008e-07,-9.326612,0.27730139615960103,-0.033752640224438905,0.47138756299251866
0.0,-0.00053263234,-9.296187e-12,0.0,1.6961224e-07,-9.718066,0.2773241104239402,-0.033755791533665834,0.4713739704488778
0.0,-0.0015978969,-2.7888561e-11,0.0,1.7159711e-07,-9.831791,0.2773468246882793,-0.03375894284289277,0.4713603779052369
0.0,-0.0026631611,-4.6480934e-11,0.0,1.7253728e-07,-9.885658,0.2773657351620948,-0.033764667680798006,0.4713488450374065
0.0,-0.005060006,-8.831376e-11,0.0,1.7308052e-07,-9.916783,0.27738291057356607,-0.033771566408977556,0.47133825167082294
0.0,-0.0055926396,-9.760997e-11,0.0,1.732477e-07,-9.926362,0.2774000859850374,-0.033778465137157106,0.4713276583042394
-0.00026631617,-0.0063915877,-6.553071e-10,0.0,1.7349838e-07,-9.940725,0.27741650927680794,-0.0337857823042394,0.47131746558603493
-0.00079894846,-0.0063915877,-1.2463428e-09,0.0,1.7358201e-07,-9.945517,0.2774320702244389,-0.03379357923316708,0.4713077322319202
-0.0013315806,-0.0063915877,-1.2463429e-09,0.0,1.7366554e-07,-9.950302,0.27744763117206983,-0.03380137616209476,0.4712979988778055
-0.001864213,-0.0063915877,-1.246343e-09,0.0,1.7377002e-07,-9.956289,0.2774614161221945,-0.03380827208603491,0.47128938360349126
-0.0021305294,-0.0061252713,-1.5726755e-09,0.0,1.7391628e-07,-9.964669,0.2774697275062344,-0.03381239114214464,0.4712842142144638
-0.002130529,-0.0053263223,-1.2277499e-09,0.0,1.7408343e-07,-9.974245,0.2774780388902743,-0.033816510198254365,0.4712790448254364
-0.0021305294,-0.004527375,-9.3010855e-10,0.0,1.7420876e-07,-9.981426,0.2774862865336658,-0.03382059451122195,0.471273914713217
-0.0013315806,-0.0034621095,7.906666e-10,-0.0011971011,1.743759e-07,-9.991003,0.277491952680798,-0.03382327172693267,0.4712703753117207
-0.0010652645,-0.002396845,-2.3096418e-10,-0.0047884034,1.7443857e-07,-9.994594,0.27749761882793017,-0.033825948942643395,0.47126683591022445
-0.00079894846,-0.0021305294,1.10574175e-10,-0.0047884043,1.744804e-07,-9.99699,0.2775032849750623,-0.033828626158354115,0.47126329650872817
-0.0002663161,-0.0018642128,2.7480185e-10,-0.0047884034,1.7450124e-07,-9.998185,0.2775083201995012,-0.03383096272568579,0.4712601635910224
0.0,-0.0010652647,-1.8592374e-11,-0.0047884043,1.7452217e-07,-9.999384,0.2775132008478803,-0.033833215834164584,0.4712571302618454
0.0,-0.0010652647,-1.8592374e-11,-0.0035913025,1.6298907e-07,-9.338586,0.27751808149625934,-0.03383546894264339,0.47125409693266834
0.0,-0.0010652645,-1.8592372e-11,-0.0011971008,1.4416413e-07,-8.259996,0.2775217254862843,-0.03383725613466334,0.47125182295511225
0.0,-0.0010652645,-1.8592372e-11,-0.0011971008,1.411555e-07,-8.087614,0.2775244824937656,-0.0338387091521197,0.4712500936159601
0.0,-0.0010652647,-1.8592374e-11,-0.0035913025,1.5406759e-07,-8.827423,0.2775272395012469,-0.033840162169576055,0.471248364276808
0.0,-0.0010652647,-1.8592374e-11,-0.0047884043,1.6639463e-07,-9.5337105,0.27752961496259354,-0.03384147446384039,0.4712468683541147
