timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
515000,515000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
519000,519000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
561000,561000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
615000,615000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
668000,668000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
715000,715000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
767000,767000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
817000,817000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
863000,863000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
916000,916000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
968000,968000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1015000,1015000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1068000,1068000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1116000,1116000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1168000,1168000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1216000,1216000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1268000,1268000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1321000,1321000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1372000,1372000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1416000,1416000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1461000,1461000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1516000,1516000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1563000,1563000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1616000,1616000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1668000,1668000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1715000,1715000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1767000,1767000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1816000,1816000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1865000,1865000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1920000,1920000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1967000,1967000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2020000,2020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2067000,2067000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2116000,2116000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2167000,2167000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2215000,2215000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2268000,2268000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2321000,2321000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2367000,2367000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2415000,2415000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2468000,2468000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2516000,2516000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2572000,2572000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2615000,2615000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2666000,2666000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2715000,2715000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2768000,2768000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2816000,2816000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2868000,2868000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2912000,2912000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2957000,2957000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3020000,3020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3069000,3069000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3116000,3116000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3168000,3168000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3215000,3215000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3267000,3267000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3315000,3315000,-1.2513119e-13,1.4989912e-17,-2.4510395e-24,0.0,0.0,0.0,0.0,-1.0
3367000,3367000,-1.2513119e-13,1.4989912e-17,-2.4510395e-24,0.0,0.0,0.0,0.0,-1.0
3416000,3416000,-1.2513119e-13,1.4989912e-17,-2.4510395e-24,0.0,0.0,0.0,0.0,-1.0
3468000,3468000,-1.2513119e-13,1.4989912e-17,-2.4510395e-24,0.0,0.0,0.0,0.0,-1.0
3516000,3516000,-1.2513119e-13,1.4989912e-17,-2.4510395e-24,0.0,0.0,0.0,0.0,-1.0
3565000,3565000,-1.2513119e-13,1.4989912e-17,-2.4510395e-24,0.0,0.0,0.0,0.0,-1.0
3616000,3616000,-1.2513119e-13,1.4989912e-17,-2.4510395e-24,0.0,0.0,0.0,0.0,-1.0
3661000,3661000,-1.2513119e-13,1.4989912e-17,-2.4510395e-24,0.0,0.0,0.0,0.0,-1.0
3716000,3716000,-1.2513119e-13,1.4989912e-17,-2.4510395e-24,0.0,0.0,0.0,0.0,-1.0
3768000,3768000,-1.2513119e-13,1.4989912e-17,-2.4510395e-24,0.0,0.0,0.0,0.0,-1.0
3816000,3816000,-1.2513119e-13,1.4989912e-17,-2.4510395e-24,0.0,0.0,0.0,0.0,-1.0
3859000,3859000,-1.2513119e-13,1.4989912e-17,-2.4510395e-24,0.0,0.0,0.0,0.0,-1.0
3916000,3916000,-2.1721553e-13,1.6490466e-17,-4.3441237e-24,0.0,0.0,0.0,0.0,-1.0
