timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
480000,480000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
484000,484000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
532000,532000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
580000,580000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
632000,632000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
680000,680000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
732000,732000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
784000,784000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
836000,836000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
884000,884000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
928000,928000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
980000,980000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1032000,1032000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1081000,1081000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1133000,1133000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1180000,1180000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1233000,1233000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1281000,1281000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1308000,1308000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1383000,1383000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1432000,1432000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1484000,1484000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1537000,1537000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1585000,1585000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1632000,1632000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1681000,1681000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1732000,1732000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1780000,1780000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1832000,1832000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1881000,1881000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1932000,1932000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1981000,1981000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2032000,2032000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2081000,2081000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2132000,2132000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2184000,2184000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2232000,2232000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2280000,2280000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2333000,2333000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2380000,2380000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2432000,2432000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2481000,2481000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2532000,2532000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2580000,2580000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2632000,2632000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2680000,2680000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2696000,2696000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2781000,2781000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2832000,2832000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2880000,2880000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2932000,2932000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2981000,2981000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3032000,3032000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3080000,3080000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3132000,3132000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3181000,3181000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3232000,3232000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3280000,3280000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3332000,3332000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3380000,3380000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3432000,3432000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3481000,3481000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3532000,3532000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3584000,3584000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3632000,3632000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3680000,3680000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3732000,3732000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
