timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
2000000,134.69238,88.61341,0,75,5994,1024000,0,3,255
3000000,178.4248,70.80349,0,149,7280,1024000,0,3,255
4001000,223.70508,63.534527,0,223,8884,1024000,0,3,255
5004000,270.12793,59.709976,0,295,9863,1024000,0,3,255
6005000,318.05664,57.566814,0,386,9526,1024000,0,3,255
7008000,376.7334,57.71039,0,468,391,1024000,0,3,255
8008000,429.4668,57.049255,0,559,142,1024000,0,3,255
9008000,481.7959,56.495766,0,636,403,1024000,0,3,255
10008000,534.0166,56.047085,0,709,104,1024000,0,3,255
11008000,590.18164,56.058285,0,776,403,1024000,0,3,255
12012000,648.9844,56.27683,0,861,574,1024000,0,3,255
13012000,709.26074,56.595974,0,940,561,1024000,0,3,255
14012000,768.31445,56.777596,0,1036,479,1024000,0,3,255
15012000,829.1094,57.054043,0,1098,533,1024000,0,3,255
16012000,890.36426,57.32451,0,1176,533,1024000,0,3,255
17012000,950.4824,57.493492,0,1261,533,1024000,0,3,255
18012000,1006.5947,57.414715,0,1348,479,1024000,0,3,255
19016000,1062.0059,57.29423,0,1442,730,1024000,0,3,255
20016000,1123.2256,57.495167,0,1531,1242,1024000,0,3,255
21020000,1185.9395,57.738045,0,1596,783,1024000,0,3,255
22020000,1248.1045,57.94357,0,1666,573,1024000,0,3,255
23021000,1309.0283,58.073215,0,1734,781,1024000,0,3,255
24023000,1370.3848,58.207737,0,1796,637,1024000,0,3,255
25024000,1428.5566,58.203907,0,1878,915,1024000,0,3,255
26024000,1487.9756,58.25147,0,1955,1084,1024000,0,3,255
27028000,1549.9961,58.384663,0,2037,1224,1024000,0,3,255
28028000,1611.7686,58.507645,0,2108,1156,1024000,0,3,255
29028000,1672.3848,58.581505,0,2202,1259,1024000,0,3,255
30032000,1733.5068,58.659542,0,2293,1209,1024000,0,3,255
31032000,1793.1416,58.691463,0,2386,2365,1024000,0,3,255
32035000,1851.4893,58.674988,0,2482,2192,1024000,0,3,255
33036000,1911.1123,58.70231,0,2558,1811,1024000,0,3,255
34040000,1970.8936,58.72746,0,2640,1798,1024000,0,3,255
35040000,2030.5713,58.754955,0,2732,1748,1024000,0,3,255
36040000,2088.004,58.717773,0,2811,1773,1024000,0,3,255
37040000,2147.1426,58.729282,0,2891,1599,1024000,0,3,255
38044000,2207.1318,58.756573,0,2959,1839,1024000,0,3,255
39048000,2263.1504,58.679485,0,3037,1926,1024000,0,3,255
40048000,2320.5889,58.64812,0,3108,1955,1024000,0,3,255
41048000,2379.2695,58.648926,0,3175,2030,1024000,0,3,255
42048000,2437.6787,58.643154,0,3262,1845,1024000,0,3,255
43048000,2493.8389,58.584824,0,3348,2563,1024000,0,3,255
