timestamp,saturation_status
997000,1529
2001000,1529
3001000,1529
4005000,1533
5000000,1533
5996000,1533
6996000,1533
8000000,1533
9000000,1533
10001000,1533
11000000,1533
12000000,1529
13000000,1533
14000000,1533
15000000,1533
16004000,1533
16997000,1533
18004000,1533
19000000,1533
20002000,1
21001000,1
21997000,1
23000000,1
24000000,1
25001000,1
26001000,1
27004000,1
28000000,1
29000000,1
30001000,1
31004000,1
32001000,1
33000000,1
34000000,1
35005000,1
36000000,1
37001000,1
38000000,1
39001000,1
40000000,1
41003000,1
42000000,1533
43000000,1533
