timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
805000,704000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
1808000,704000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
2816000,704000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
3824000,704000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
4832000,704000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
5836000,704000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
6845000,704000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
7856000,704000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
8869000,704000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
9871000,704000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
10872000,704000,1,1310988,6620172,1310988,197388,0.010714019,0.010770364,0.01077031,0.010733606,0.0107683055,0.010765403,nan,nan,nan,0.0,1.0,0.00045981165,0.9995264,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
11876000,704000,1,1310988,6620172,1310988,197388,0.04573676,0.045556653,0.04558876,0.045649588,0.045593597,0.045527842,nan,nan,nan,0.0,1.0,0.0019360902,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
12878000,704000,1,1310988,6620172,1310988,197388,0.019143447,0.01904969,0.019033829,0.019097202,0.019096283,0.019080041,nan,nan,nan,0.0,1.0,0.013251849,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
13889000,704000,1,1310988,6620172,1310988,197388,0.025110278,0.025223833,0.025317337,0.025131568,0.025329132,0.025445221,nan,nan,nan,0.0,1.0,0.0146269845,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
14896000,704000,1,1310988,6620172,1310988,197388,0.03083255,0.030787978,0.030804222,0.030825227,0.030831326,0.03068791,nan,nan,nan,0.0,1.0,0.020487953,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
15900000,704000,1,1310988,6620172,1310988,197388,0.037726246,0.037865292,0.03785138,0.037806626,0.037847772,0.03790243,nan,nan,nan,0.0,1.0,0.04563757,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
16905000,704000,1,1310988,6620172,1310988,197388,0.036368564,0.03633565,0.0363305,0.036380928,0.03637469,0.03635008,nan,nan,nan,0.0,1.0,0.06887442,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
17908000,704000,1,1310988,6620172,1310988,197388,0.02830514,0.02846495,0.02846708,0.028451651,0.028306186,0.02833556,nan,nan,nan,0.0,1.0,0.08547333,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
18917000,704000,1,1310988,6620172,1310988,197388,0.04374335,0.04378049,0.0437745,0.043714404,0.0437439,0.04386263,nan,nan,nan,0.0,1.0,0.089317776,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
19921000,704000,1,1310988,6620172,1310988,197388,0.028968621,0.028879821,0.028869733,0.028952189,0.028911503,0.028845163,nan,nan,nan,0.0,1.0,0.09002475,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
20925000,704000,1,1310988,6620172,1310988,197388,0.03026279,0.031468257,0.03134851,0.030241476,0.03134325,0.031351507,nan,nan,nan,0.0,1.0,0.18991241,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
21936000,704000,1,1310988,6620172,1310988,197388,0.02591098,0.027381023,0.02721854,0.025992753,0.02729918,0.027238047,nan,nan,nan,0.0,1.0,0.24071714,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
22944000,704000,1,1310988,6620172,1310988,197388,0.01958052,0.018395096,0.018506162,0.019559467,0.018458348,0.018508302,nan,nan,nan,0.0,1.0,0.31208026,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
23956000,704000,1,1310988,6620172,1310988,197388,0.036548477,0.037384614,0.03730846,0.036566824,0.037358757,0.037305377,nan,nan,nan,0.0,1.0,0.3395132,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
24964000,704000,1,1310988,6620172,1310988,197388,0.026655052,0.026514556,0.026489051,0.026703909,0.026505798,0.026476813,nan,nan,nan,0.0,1.0,0.3528123,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
25968000,704000,1,1310988,6620172,1310988,197388,0.021087905,0.021154169,0.021172067,0.021066636,0.021151928,0.021166101,nan,nan,nan,0.0,1.0,0.38766512,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
26977000,704000,1,1310988,6620172,1310988,197388,0.027805578,0.027650733,0.027625417,0.027651642,0.02765255,0.027809687,nan,nan,nan,0.0,1.0,0.4310498,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
