timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,mode_switch,man_switch,acro_switch,stab_switch,posctl_switch
101034723,101018698,1,1,0,0,0,3,3,0,3,0,0,0,0,0
102042725,102026700,1,1,0,0,0,3,3,0,3,0,0,0,0,0
103050723,103034700,1,1,0,0,0,3,3,0,3,0,0,0,0,0
104058724,104042700,1,1,0,0,0,3,3,0,3,0,0,0,0,0
105066801,105050700,1,1,0,0,0,3,3,0,3,0,0,0,0,0
106074727,106058698,1,1,0,0,0,3,3,0,3,0,0,0,0,0
107082723,107066700,1,1,0,0,0,3,3,0,3,0,0,0,0,0
108090723,108074734,1,1,0,0,0,3,3,0,3,0,0,0,0,0
109098725,109082717,1,1,0,0,0,3,3,0,3,0,0,0,0,0
110106723,110090702,1,1,0,0,0,3,3,0,3,0,0,0,0,0
111114723,111098698,1,1,0,0,0,3,3,0,3,0,0,0,0,0
112122735,112106718,1,1,0,0,0,3,3,0,3,0,0,0,0,0
113130722,113114698,1,1,0,0,0,3,3,0,3,0,0,0,0,0
114138723,114122698,1,1,0,0,0,3,3,0,3,0,0,0,0,0
115146725,115130698,1,1,0,0,0,3,3,0,3,0,0,0,0,0
116154723,116138699,1,1,0,0,0,3,3,0,3,0,0,0,0,0
117162723,117146698,1,1,0,0,0,3,3,0,3,0,0,0,0,0
118170722,118154699,1,1,0,0,0,3,3,0,3,0,0,0,0,0
119178722,119162729,1,1,0,0,0,3,3,0,3,0,0,0,0,0
120186924,120170699,1,1,0,0,0,3,3,0,3,0,0,0,0,0
121194724,121178700,1,1,0,0,0,3,3,0,3,0,0,0,0,0
122202724,122186699,1,1,0,0,0,3,3,0,3,0,0,0,0,0
123210722,123194700,1,1,0,0,0,3,3,0,3,0,0,0,0,0
124218727,124202699,1,1,0,0,0,3,3,0,3,0,0,0,0,0
125226727,125210698,1,1,0,0,0,3,3,0,3,0,0,0,0,0
126234728,126218698,1,1,0,0,0,3,3,0,3,0,0,0,0,0
127242729,127226698,1,1,0,0,0,3,3,0,3,0,0,0,0,0
128250723,128234698,1,1,0,0,0,3,3,0,3,0,0,0,0,0
129258752,129242698,1,1,0,0,0,3,3,0,3,0,0,0,0,0
130266723,130250702,1,1,0,0,0,3,3,0,3,0,0,0,0,0
131274724,131258698,1,1,0,0,0,3,3,0,3,0,0,0,0,0
132282727,132266701,1,1,0,0,0,3,3,0,3,0,0,0,0,0
133290726,133274699,1,1,0,0,0,3,3,0,3,0,0,0,0,0
134298724,134282698,1,1,0,0,0,3,3,0,3,0,0,0,0,0
135306728,135290700,1,1,0,0,0,3,3,0,3,0,0,0,0,0
136314726,136298700,1,1,0,0,0,3,3,0,3,0,0,0,0,0
