timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
21613000,0.0,0.0,33.0,4.0,3.0,0.0,0.0,176,1,0,0,0,0,1
22339000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
22444000,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,1,0,0,0,0,1
22547000,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,1,0,0,0,0,1
28081000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
28085000,0.0,0.0,2.0,1.0,0.0,0.0,666.0,183,1,0,0,0,0,1
29129000,-1.5,0.0,2.0,3.0,0.031681288,0.055999137,666.0,183,1,0,0,0,0,1
34143000,0.0,0.0,2.0,3.0,0.0,0.0,777.0,183,1,0,0,0,0,1
34151000,0.0,0.0,2.0,6.0,0.0,0.0,666.0,183,1,0,0,0,0,1
37167000,0.0,0.0,2.0,6.0,0.0,0.0,777.0,183,1,0,0,0,0,1
37167000,0.0,0.0,2.0,9.0,11.0,4.0,666.0,183,1,0,0,0,0,1
42187000,0.0,0.0,2.0,9.0,0.0,0.0,777.0,183,1,0,0,0,0,1
42199000,28.14295768737793,112.98371124267578,0.0,0.0,0.0,0.0,50.845,21,1,0,0,0,0,1
42203000,0.0,0.0,2.0,7.0,0.0,0.0,666.0,183,1,0,0,0,0,1
47228000,0.0,0.0,2.0,7.0,0.0,0.0,777.0,183,1,0,0,0,0,1
47228000,0.0,0.0,0.0,21196.0,0.0,0.0,0.0,400,1,0,0,0,0,1
