timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
30854768,0.0,0.0,0.0,0.0
30857816,0.0,0.0,0.0,0.0
31055951,0.0,0.0,0.0,0.0
31255675,0.0,0.0,0.0,0.0
31455315,0.0,0.0,0.0,0.0
31654992,0.0,0.0,0.0,0.0
31854671,0.0,0.0,0.0,0.0
32057358,0.0,0.0,0.0,0.0
32257038,0.0,0.0,0.0,0.0
32456769,0.0,0.0,0.0,0.0
32656402,0.0,0.0,0.0,0.0
32856082,0.0,0.0,0.0,0.0
33055768,0.0,0.0,0.0,0.0
33253944,0.0,0.0,0.0,0.0
33458133,0.0,0.0,0.0,0.0
33657860,0.0,0.0,0.0,0.0
33855992,0.0,0.0,0.0,0.0
34055718,0.0,0.0,0.0,0.0
34255358,0.0,0.0,0.0,0.0
34455038,0.0,0.0,0.0,0.0
34654723,0.0,0.0,0.0,0.0
34857410,0.0,0.0,0.0,0.0
35057090,0.0,0.0,0.0,0.0
35256819,0.0,0.0,0.0,0.0
35456457,0.0,0.0,0.0,0.0
35656132,0.0,0.0,0.0,0.0
35855822,0.0,0.0,0.0,0.0
36054001,-0.0031915791,0.003211531,-0.004613426,0.0
36258191,-0.002398825,0.00064741995,-0.006346158,0.0
36457957,-0.0022289704,-0.0019824402,-0.0067241634,0.0
36656055,-0.0023714115,-0.0024261759,-0.0068601123,0.0
36855781,-0.0020345806,-0.004093069,-0.0070656156,0.0
37055420,-0.0016984311,-0.0050801667,-0.0066514714,0.0
37255096,-0.0020233018,-0.0058185784,-0.0066972906,0.0
37454781,-0.0018672302,-0.006670221,-0.007157593,0.0
37657461,-0.0014988742,-0.007435679,-0.0065526892,0.0
37857148,-0.0013503139,-0.009246462,-0.006782747,0.0
38056874,-0.0013004208,-0.00952152,-0.0067767664,0.0
38256507,-0.0011273837,-0.009465897,-0.0063052694,0.0
38456190,-0.0016672207,-0.0096070245,-0.006772899,0.0
38655871,-0.0014917168,-0.009941307,-0.0061833304,0.0
38854050,-0.0018453643,-0.010089608,-0.006135531,0.0
39058230,-0.0018027963,-0.010180124,-0.006087051,0.0
39256409,-0.0019717521,-0.010632385,-0.005228547,0.0
39456086,-0.0020162174,-0.010933013,-0.0053706714,0.0
39655813,-0.0018303774,-0.010678861,-0.005146206,0.0
39855448,-0.0020483423,-0.009830094,-0.0048619453,0.0
40055120,-0.0007153327,-0.009940774,-0.005264577,0.0
40254800,-0.00032093382,-0.009521419,-0.0048756134,0.0
40457481,-0.00060582784,-0.009241462,-0.005017664,0.0
40657155,-0.0013970626,-0.008841663,-0.0052364436,0.0
40856882,-0.0006450478,-0.008340302,-0.004663986,0.0
41056509,0.002128607,-0.008793435,-0.004956613,0.0
41256189,0.003014025,-0.009290031,-0.0050728787,0.0
41455869,0.003422123,-0.010254647,-0.0052879397,0.0
41654044,0.0035915603,-0.011002763,-0.0058492348,0.0
41858222,0.0035405904,-0.01091193,-0.005988468,0.0
42057947,0.004457543,-0.010898325,-0.0063095894,0.0
42256073,0.0048941877,-0.011249552,-0.0067460355,0.0
42455797,0.0048729163,-0.011063389,-0.0069534136,0.0
42655424,0.005068044,-0.01123665,-0.0076900735,0.0
42855102,0.004714242,-0.011729079,-0.0079942085,0.0
43054781,0.006138426,-0.01099831,-0.008402607,0.0
43257459,0.0070459163,-0.009742626,-0.00893648,0.0
43457142,0.007822356,-0.011537271,-0.009448163,0.0
43656853,0.008512347,-0.011581899,-0.009732094,0.0
43856480,0.00864346,-0.009846292,-0.010340534,0.0
44056156,0.0081727505,-0.010926913,-0.010599911,0.0
44255831,0.008240472,-0.011086563,-0.01080926,0.0
44454006,0.0067172647,-0.012104487,-0.011308402,0.0
44658184,0.0056354627,-0.00958612,-0.01142119,0.0
44857906,0.004604483,-0.007816882,-0.011410316,0.0
45056034,0.0047862576,-0.008179662,-0.0116422605,0.0
45255752,0.0041807042,-0.009338339,-0.011384507,0.0
45455380,0.004273251,-0.009592069,-0.011295509,0.0
45655053,0.0044027604,-0.00635135,-0.0111040985,0.0
45854730,0.004457005,-0.0085778255,-0.010662028,0.0
46057405,0.0052677947,-0.010460094,-0.010645798,0.0
46257081,0.0060760463,-0.0071838624,-0.010721398,0.0
46456799,0.006680708,-0.009503617,-0.010374673,0.0
46656421,0.0068834843,-0.007594399,-0.010519157,0.0
46856098,0.0074466877,-0.0086649675,-0.010364678,0.0
47055771,0.007195874,-0.009866067,-0.010076078,0.0
47253938,0.005770313,-0.005484487,-0.010111087,0.0
47458135,0.0053276597,-0.0070872367,-0.009933432,0.0
47657833,0.0051016957,-0.0051772,-0.009607167,0.0
47855988,0.0045085037,-0.005310002,-0.009505867,0.0
48055676,0.003219274,-0.0045115952,-0.009436788,0.0
48255305,0.0017010389,-0.0053686416,-0.008927872,0.0
48454982,-9.5806856e-05,-0.0041026757,-0.00888601,0.0
48654648,-0.0011096587,-0.007830419,-0.008497982,0.0
48857324,-0.00094159757,-0.0072306423,-0.007875806,0.0
49056996,-0.0018359735,-0.0063249767,-0.007539514,0.0
49256710,-0.0021490022,-0.0061809444,-0.007097793,0.0
49456335,-0.001913703,-0.005953954,-0.006491751,0.0
49656007,-0.0019206911,-0.0073211673,-0.0064382744,0.0
49855678,-0.001534925,-0.0037363726,-0.0062013688,0.0
50055353,-0.0015991075,-0.0036975164,-0.0059502413,0.0
50258029,-0.0017316672,-0.003908961,-0.0060773264,0.0
50457743,-0.0007809746,-0.0058450634,-0.005983231,0.0
50657369,-0.0010762716,-0.005828614,-0.005812027,0.0
50855578,-0.0018011569,-0.0032610917,-0.0059290947,0.0
51055208,-0.0032177079,-0.005504764,-0.005619595,0.0
51254875,-0.00342794,-0.0055400124,-0.005336371,0.0
51454544,-0.0024879165,-0.0061331457,-0.00516932,0.0
51657217,-0.002768388,-0.004677613,-0.0048870253,0.0
51856890,-0.00304766,-0.0038375473,-0.0050496417,0.0
52056600,-0.0041247704,-0.005318602,-0.005494057,0.0
52256227,-0.004723961,-0.0069364617,-0.0056992364,0.0
52455898,-0.0060923574,-0.0058570425,-0.006169374,0.0
52655568,-0.0063048373,-0.003850801,-0.0065879575,0.0
52855233,-0.007061716,-0.005061945,-0.006886224,0.0
53057908,-0.008025692,-0.008579392,-0.0074547688,0.0
53257620,-0.008046897,-0.006113836,-0.006902609,0.0
53457286,-0.008128067,-0.008733605,-0.0070141144,0.0
53656919,-0.0061220336,-0.007323969,-0.008000417,0.0
53855082,-0.0033853273,-0.0075241867,-0.00894161,0.0
54054749,-0.0008907366,-0.007720306,-0.010058983,0.0
54254415,0.0011277947,-0.0024265232,-0.011094943,0.0
54457088,0.004505129,-0.0009446737,-0.011507497,0.0
54656773,0.007212029,0.00012234137,-0.012031016,0.0
54856468,0.0034969945,0.002549607,-0.011279516,0.0
55056095,0.0036412121,0.00438656,-0.011566401,0.0
55255770,-0.0014098061,0.00983605,-0.011422017,0.0
55455432,-0.0023656317,0.01108789,-0.011415054,0.0
55655105,-0.0023656317,0.01108789,-0.011415054,0.0
55857772,-0.0023656317,0.01108789,-0.011415054,0.0
56057486,-0.0023656317,0.01108789,-0.011415054,0.0
56257110,-0.0023656317,0.01108789,-0.011415054,0.0
56456784,-0.0023656317,0.01108789,-0.011415054,0.0
56654949,-0.0023656317,0.01108789,-0.011415054,0.0
56854620,-0.0023656317,0.01108789,-0.011415054,0.0
57054291,-0.0023656317,0.01108789,-0.011415054,0.0
57256966,-0.0023656317,0.01108789,-0.011415054,0.0
57456634,-0.0023656317,0.01108789,-0.011415054,0.0
57656353,0.0,0.0,0.0,0.0
57855978,0.0,0.0,0.0,0.0
58055650,0.0,0.0,0.0,0.0
58255321,0.0,0.0,0.0,0.0
58454989,0.0,0.0,0.0,0.0
