timestamp,speed_xy,speed_up,speed_down,want_takeoff
11776000,5.0,3.0,1.0,0
11800000,5.0,3.0,1.0,0
12776000,5.0,3.0,1.0,0
13760000,5.0,3.0,1.0,0
14760000,5.0,3.0,1.0,0
15768000,5.0,3.0,1.0,0
16764000,5.0,3.0,1.0,0
17776000,5.0,3.0,1.0,0
18772000,5.0,3.0,1.0,0
19773000,5.0,3.0,1.0,0
20776000,5.0,3.0,1.0,0
21784000,5.0,3.0,1.0,0
22777000,5.0,3.0,1.0,0
22885000,5.0,3.0,1.0,0
42670000,5.0,3.0,1.0,0
42690000,5.0,3.0,1.0,0
43673000,5.0,3.0,1.0,0
44673000,5.0,3.0,1.0,0
45668000,5.0,3.0,1.0,0
46662000,5.0,3.0,1.0,0
