timestamp,saturation_status
996000,1533
2000000,1533
3000000,1533
4000000,1533
5000000,1533
6000000,1533
7001000,1533
8000000,1533
9001000,1533
10000000,1533
10996000,1533
11996000,1533
12949000,1529
14000000,1533
14993000,1533
16000000,1533
16977000,1529
18001000,1529
18996000,1533
19996000,1533
20997000,1533
22000000,1533
23000000,1533
24000000,1533
25004000,1533
26001000,1533
26993000,1533
28001000,1533
29000000,1533
30003000,1
30998000,1
31998000,1
32998000,1
34001000,1
35002000,1
35998000,1
36998000,1
37994000,1
39006000,1
39994000,1
41002000,1
42002000,1
43002000,1
44000000,1
45004000,1
46004000,1
46998000,1533
