timestamp,saturation_status
1001000,1529
2002000,1529
3000000,1529
4001000,1533
5000000,1533
5995000,1533
7001000,1533
8000000,1533
9001000,1533
10001000,1533
11001000,1533
12001000,1533
13000000,1533
14001000,1533
15000000,1533
16001000,1533
17001000,1533
18000000,1533
19000000,1
20001000,1
21001000,1
22000000,1
23001000,1
24004000,1
25001000,1
25925000,1
27000000,1
28000000,1
29005000,1
30000000,1
31001000,1
32005000,1
33001000,1
34000000,1
35000000,1
36001000,1
37004000,1
38000000,1
39000000,1
40004000,1
41004000,1
42004000,1
43000000,1
44000000,1
45004000,1
46000000,1
46996000,1
48000000,1529
49000000,1529
50001000,1533
