timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
21891035,0.0,0.0,0.0,21196.0,0.0,0.0,0.0,400,8,0,255,0,0,1
29896827,0.0,0.0,33.0,4.0,3.0,0.0,0.0,176,8,0,255,0,0,1
30606562,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,8,0,255,0,0,1
30702344,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,8,0,255,0,0,1
30804655,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,8,0,255,0,0,1
33809733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,8,0,255,0,0,1
33818036,0.0,0.0,2.0,1.0,0.0,0.0,666.0,183,8,0,255,0,0,1
34823790,-1.0,0.0,2.0,3.0,-1.6876174,0.61705774,666.0,183,8,0,255,0,0,1
39831163,0.0,0.0,2.0,3.0,0.0,0.0,777.0,183,8,0,255,0,0,1
39834716,0.0,0.0,2.0,6.0,0.0,0.0,666.0,183,8,0,255,0,0,1
44842972,0.0,0.0,2.0,6.0,0.0,0.0,777.0,183,8,0,255,0,0,1
44861428,0.0,0.0,2.0,5.0,0.2,0.0,666.0,183,8,0,255,0,0,1
59866564,0.0,0.0,2.0,5.0,0.0,0.0,777.0,183,8,0,255,0,0,1
59869936,7.891887435107492e-06,1.7759198271960486e-06,0.0,0.0,0.0,0.0,0.0,21,8,0,255,0,0,1
59873493,0.0,0.0,2.0,7.0,0.0,0.0,666.0,183,8,0,255,0,0,1
64875352,0.0,0.0,2.0,7.0,0.0,0.0,777.0,183,8,0,255,0,0,1
64878902,0.0,0.0,0.0,21196.0,0.0,0.0,0.0,400,8,0,255,0,0,1
65373534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,8,0,255,0,0,1
